person_name,category,person_type,role,achievement,achievement_year
草間彌生,芸術,CONTEMPORARY_ARTIST,現代アーティスト,ヴェネツィア・ビエンナーレ日本館代表,1993
村上隆,芸術,CONTEMPORARY_ARTIST,現代アーティスト,スーパーフラット運動の提唱,2000
奈良美智,芸術,CONTEMPORARY_ARTIST,現代アーティスト・画家,ニューヨーク近代美術館での個展,2021
杉本博司,芸術,CONTEMPORARY_ARTIST,写真家,ハッセルブラッド国際写真賞受賞,2001
荒木経惟,芸術,CONTEMPORARY_ARTIST,写真家,「センチメンタルな旅」発表,1971
森村泰昌,芸術,CONTEMPORARY_ARTIST,現代アーティスト,「美術史の娘」シリーズ発表,1990
宮島達男,芸術,CONTEMPORARY_ARTIST,現代アーティスト,「それは変化し続ける」シリーズ,1988
塩田千春,芸術,CONTEMPORARY_ARTIST,現代アーティスト,ヴェネツィア・ビエンナーレ日本館代表,2015
やなぎみわ,芸術,CONTEMPORARY_ARTIST,現代アーティスト・写真家,横浜トリエンナーレ参加,2001
横尾忠則,芸術,CONTEMPORARY_ARTIST,グラフィックデザイナー・画家,ニューヨーク近代美術館所蔵作品,1972
川俣正,芸術,CONTEMPORARY_ARTIST,現代アーティスト,ヴェネツィア・ビエンナーレフランス館代表,1982
束芋,芸術,CONTEMPORARY_ARTIST,映像作家,ヴェネツィア・ビエンナーレ参加,2005
会田誠,芸術,CONTEMPORARY_ARTIST,現代アーティスト,「あぜ道」で芸術選奨文部科学大臣賞,2013
名和晃平,芸術,CONTEMPORARY_ARTIST,彫刻家,ルーヴル美術館での個展,2018
チームラボ,芸術,CONTEMPORARY_ARTIST,アートコレクティブ,デジタルアート常設美術館開設,2018
