person_name,category,person_type,award_name,award_year
黒澤明,映画,DIRECTOR,ヴェネツィア金獅子賞,1951
宮崎駿,アニメ,DIRECTOR,アカデミー長編アニメ賞,2003
今村昌平,映画,DIRECTOR,カンヌ・パルムドール,1997
是枝裕和,映画,DIRECTOR,カンヌ・パルムドール,2018
北野武,映画,DIRECTOR,ヴェネツィア金獅子賞,1997
濱口竜介,映画,DIRECTOR,カンヌ監督賞,2021
坂本龍一,音楽,MUSICIAN,アカデミー作曲賞,1988
柳楽優弥,映画,ACTOR,カンヌ男優賞,2004
衣笠貞之助,映画,DIRECTOR,カンヌ・パルムドール,1954
溝口健二,映画,DIRECTOR,ヴェネツィア銀獅子賞,1952
小澤征爾,音楽,CONDUCTOR,グラミー賞,2016
大島渚,映画,DIRECTOR,カンヌ監督賞,1978
河瀨直美,映画,DIRECTOR,カンヌ監督賞,2007
石岡瑛子,デザイン,DESIGNER,アカデミー衣装デザイン賞,1993
稲垣浩,映画,DIRECTOR,ヴェネツィア金獅子賞,1958
