person_name,category,person_type,role,achievement,achievement_year
葛飾北斎,歴史,EDO_SCHOLAR,浮世絵師,『富嶽三十六景』制作,1831
歌川広重,歴史,EDO_SCHOLAR,浮世絵師,『東海道五十三次』制作,1833
伊能忠敬,歴史,EDO_SCHOLAR,測量家・地図製作者,日本全国沿岸地図の完成,1818
杉田玄白,歴史,EDO_SCHOLAR,蘭学医・翻訳家,『解体新書』刊行,1774
平賀源内,歴史,EDO_SCHOLAR,蘭学者・発明家,エレキテル復元・公開,1776
本居宣長,歴史,EDO_SCHOLAR,国学者,『古事記伝』完成,1798
松尾芭蕉,歴史,EDO_SCHOLAR,俳人,『奥の細道』完成,1694
与謝蕪村,歴史,EDO_SCHOLAR,俳人・画家,俳画の大成,1770
小林一茶,歴史,EDO_SCHOLAR,俳人,『おらが春』刊行,1819
近松門左衛門,歴史,EDO_SCHOLAR,浄瑠璃作家,『曽根崎心中』初演,1703
上田秋成,歴史,EDO_SCHOLAR,国学者・作家,『雨月物語』刊行,1776
十返舎一九,歴史,EDO_SCHOLAR,戯作者,『東海道中膝栗毛』刊行,1802
滝沢馬琴,歴史,EDO_SCHOLAR,戯作者,『南総里見八犬伝』完結,1842
菱川師宣,歴史,EDO_SCHOLAR,浮世絵師,『見返り美人図』制作,1690
良寛,歴史,EDO_SCHOLAR,僧侶・歌人・書家,書と和歌の活動,1810
