person_name,category,person_type,role,achievement,achievement_year
坂本九,芸能,ENTERTAINMENT_LEGEND,歌手,「上を向いて歩こう」がビルボード1位を獲得,1963
美空ひばり,芸能,ENTERTAINMENT_LEGEND,歌手,昭和の歌姫として数々のヒット曲を生み出す,1960
松田聖子,芸能,ENTERTAINMENT_LEGEND,歌手・アイドル,アイドル歌手として社会現象を巻き起こす,1980
宇多田ヒカル,芸能,ENTERTAINMENT_LEGEND,歌手,「Automatic」でデビューし日本の音楽シーンを革新,1999
坂本龍一,芸能,ENTERTAINMENT_LEGEND,音楽家,YMO結成と映画音楽での国際的評価,1978
桑田佳祐,芸能,ENTERTAINMENT_LEGEND,歌手・ミュージシャン,サザンオールスターズのリーダーとして日本のロック/ポップスを牽引,1978
高倉健,芸能,ENTERTAINMENT_LEGEND,俳優,日本映画の象徴的俳優として国内外で活躍,1965
渥美清,芸能,ENTERTAINMENT_LEGEND,俳優,「男はつらいよ」シリーズで国民的俳優に,1969
吉永小百合,芸能,ENTERTAINMENT_LEGEND,女優,昭和・平成を代表する女優として長年活躍,1957
石原裕次郎,芸能,ENTERTAINMENT_LEGEND,俳優・歌手,日活映画のスターとして一時代を築く,1956
ビートたけし,芸能,ENTERTAINMENT_LEGEND,お笑い芸人・映画監督,お笑い芸人から映画監督として国際的評価を獲得,1972
志村けん,芸能,ENTERTAINMENT_LEGEND,コメディアン,ドリフターズのメンバーとして国民的人気を獲得,1974
萩本欽一,芸能,ENTERTAINMENT_LEGEND,コメディアン,コント55号で一世を風靡しバラエティ番組の礎を築く,1965
タモリ,芸能,ENTERTAINMENT_LEGEND,タレント・司会者,「笑っていいとも！」で長寿番組を司会,1982
黒柳徹子,芸能,ENTERTAINMENT_LEGEND,女優・司会者,「徹子の部屋」で長寿番組を司会,1976
