person_name,category,person_type,sub_category,birth_year,description
バラク・オバマ,政治・社会,REAL,政治家,1961,米国44代大統領。初のアフリカ系大統領としてノーベル平和賞
アンゲラ・メルケル,政治・社会,REAL,政治家,1954,ドイツ首相16年。EUを牽引した「自由世界のリーダー」
ウラジーミル・プーチン,政治・社会,REAL,政治家,1952,ロシア大統領。21世紀の国際政治に巨大な影響
習近平,政治・社会,REAL,政治家,1953,中国国家主席。「中国の夢」を掲げ世界第2位の経済大国を指導
ナレンドラ・モディ,政治・社会,REAL,政治家,1950,インド首相。14億人の民主主義国家を率いる
ボリス・ジョンソン,政治・社会,REAL,政治家,1964,英国首相。Brexit実現に導いた政治家
エマニュエル・マクロン,政治・社会,REAL,政治家,1977,フランス大統領。39歳の史上最年少大統領
ゼレンスキー,政治・社会,REAL,政治家,1978,ウクライナ大統領。ロシア侵攻に抵抗するリーダー
マララ・ユスフザイ,政治・社会,REAL,活動家,1997,教育活動家。17歳で史上最年少ノーベル平和賞
グレタ・トゥーンベリ,政治・社会,REAL,活動家,2003,環境活動家。学校ストライキで気候変動問題を世界に訴えた
ジェフ・ベゾス,ビジネス,REAL,起業家,1964,Amazon創業者。EC革命とクラウドコンピューティングの先駆者
イーロン・マスク,ビジネス,REAL,起業家,1971,Tesla SpaceX創業者。電気自動車と宇宙開発を革新
マーク・ザッカーバーグ,ビジネス,REAL,起業家,1984,Facebook(Meta)創業者。SNSで世界を変えた
ジャック・マー,ビジネス,REAL,起業家,1964,Alibaba創業者。中国EC革命の立役者
孫正義,ビジネス,REAL,起業家,1957,ソフトバンク創業者。世界最大のテック投資家
ティム・クック,ビジネス,REAL,経営者,1960,Apple CEO。時価総額世界一企業を率いる
サンダー・ピチャイ,ビジネス,REAL,経営者,1972,Google CEO。AIとクラウドで世界を変革
サティア・ナデラ,ビジネス,REAL,経営者,1967,Microsoft CEO。クラウド転換で復活を遂げた
ジェンスン・ファン,ビジネス,REAL,起業家,1963,NVIDIA創業者。AI革命の中心的存在
オプラ・ウィンフリー,エンターテイメント,REAL,司会者,1954,米国で最も影響力のあるテレビ司会者・メディア王
