person_name,category,person_type,achievement,achievement_year
本田宗一郎,自動車・オートバイ,ENTREPRENEUR,ホンダ創業,1948
盛田昭夫,エレクトロニクス,ENTREPRENEUR,ソニー創業,1946
松下幸之助,家電,ENTREPRENEUR,パナソニック創業,1918
豊田喜一郎,自動車,ENTREPRENEUR,トヨタ自動車創業,1937
井深大,エレクトロニクス,ENTREPRENEUR,ソニー共同創業,1946
伊藤雅俊,小売,ENTREPRENEUR,イトーヨーカ堂創業,1958
中内㓛,流通,ENTREPRENEUR,ダイエー創業,1957
御木本幸吉,真珠養殖,INVENTOR,養殖真珠発明,1893
豊田佐吉,織機,INVENTOR,自動織機発明,1896
安藤百福,食品,ENTREPRENEUR,インスタントラーメン発明,1958
渋沢栄一,金融,ENTREPRENEUR,第一国立銀行創設,1873
鳥井信治郎,洋酒,ENTREPRENEUR,サントリー創業,1899
孫正義,IT・通信,ENTREPRENEUR,ソフトバンク創業,1981
稲盛和夫,セラミックス・通信,ENTREPRENEUR,京セラ創業,1959
堤康次郎,鉄道・不動産,ENTREPRENEUR,西武グループ創業,1912
