person_name,category,age,achievement,year
ルイ・アームストロング,音楽,22,ホット・ファイヴ結成,1925
ルイ・アームストロング,音楽,50,ハロー・ドリー大ヒット,1964
デューク・エリントン,音楽,28,コットンクラブ専属バンド,1927
デューク・エリントン,音楽,67,大統領自由勲章受章,1969
カウント・ベイシー,音楽,32,デッカレコード契約,1936
チャーリー・パーカー,音楽,25,ビバップ革命の中心,1945
チャーリー・パーカー,音楽,34,最後の演奏,1955
ディジー・ガレスピー,音楽,28,ビバップスタイル確立,1945
ディジー・ガレスピー,音楽,70,国連ジャズ大使,1989
マイルス・デイヴィス,音楽,23,クール・ジャズ創始,1949
マイルス・デイヴィス,音楽,33,Kind of Blue録音,1959
マイルス・デイヴィス,音楽,43,Bitches Brew発表,1970
ジョン・コルトレーン,音楽,30,マイルス・クインテット参加,1955
ジョン・コルトレーン,音楽,38,A Love Supreme録音,1964
セロニアス・モンク,音楽,40,タイム誌表紙,1964
セロニアス・モンク,音楽,55,最後の公演,1976
ソニー・ロリンズ,音楽,26,サキソフォン・コロッサス録音,1956
ソニー・ロリンズ,音楽,81,引退発表,2012
オーネット・コールマン,音楽,30,フリー・ジャズ発表,1960
スタン・ゲッツ,音楽,35,ゲッツ/ジルベルト大ヒット,1962
デクスター・ゴードン,音楽,63,映画ラウンド・ミッドナイト主演,1986
キャノンボール・アダレイ,音楽,30,サムシン・エルス参加,1958
ウェイン・ショーター,音楽,25,アート・ブレイキー参加,1959
ウェイン・ショーター,音楽,32,マイルス・クインテット参加,1964
マイケル・ブレッカー,音楽,37,セルフタイトルアルバム,1987
レスター・ヤング,音楽,27,カウント・ベイシー楽団参加,1936
コールマン・ホーキンス,音楽,35,ボディ・アンド・ソウル録音,1939
ベン・ウェブスター,音楽,31,デューク・エリントン楽団参加,1940
ポール・デズモンド,音楽,34,テイク・ファイヴ作曲,1959
ジェリー・マリガン,音楽,25,ピアノレス・カルテット結成,1952
エリック・ドルフィー,音楽,34,Out to Lunch録音,1964
ファラオ・サンダース,音楽,29,コルトレーン・グループ参加,1965
チャールズ・ロイド,音楽,28,フォレスト・フラワー録音,1966
ブランフォード・マルサリス,音楽,24,スティング・ツアー参加,1985
カマシ・ワシントン,音楽,34,The Epic発表,2015
クリフォード・ブラウン,音楽,25,絶頂期の録音活動,1955
リー・モーガン,音楽,18,ディジー・ガレスピー楽団参加,1956
フレディ・ハバード,音楽,22,オーネット・コールマン参加,1960
チェット・ベイカー,音楽,23,マイ・ファニー・ヴァレンタイン録音,1952
ウィントン・マルサリス,音楽,22,デビューアルバム発表,1982
ウィントン・マルサリス,音楽,35,ピューリッツァー賞受賞,1997
ロイ・ハーグローヴ,音楽,25,ハバナ録音,1997
アート・テイタム,音楽,24,ソロ・ピアノ録音開始,1933
バド・パウエル,音楽,23,ビバップピアノスタイル確立,1947
ビル・エヴァンス,音楽,29,マイルス・デイヴィス参加,1958
ビル・エヴァンス,音楽,31,ヴィレッジ・ヴァンガード・ライブ,1961
ハービー・ハンコック,音楽,23,マイルス・クインテット参加,1963
ハービー・ハンコック,音楽,43,ロッキット大ヒット,1983
チック・コリア,音楽,27,マイルス・デイヴィス参加,1968
チック・コリア,音楽,30,リターン・トゥ・フォーエヴァー結成,1972
キース・ジャレット,音楽,30,ケルン・コンサート録音,1975
キース・ジャレット,音楽,71,引退発表,2017
マッコイ・タイナー,音楽,22,コルトレーン・カルテット参加,1960
オスカー・ピーターソン,音楽,24,JATP初参加,1949
アーマッド・ジャマル,音楽,28,バット・ノット・フォー・ミー録音,1958
ホレス・シルヴァー,音楽,27,ジャズ・メッセンジャーズ結成,1955
セシル・テイラー,音楽,27,ジャズ・アドヴァンス録音,1956
ブラッド・メルドー,音楽,29,アート・オブ・ザ・トリオ開始,1997
ジャンゴ・ラインハルト,音楽,24,ホット・クラブ結成,1934
チャーリー・クリスチャン,音楽,20,ベニー・グッドマン参加,1939
ウェス・モンゴメリー,音楽,35,インクレディブル・ジャズ・ギター録音,1960
パット・メセニー,音楽,21,ブライト・サイズ・ライフ録音,1976
パット・メセニー,音楽,45,グラミー賞20回受賞達成,1999
ジョージ・ベンソン,音楽,33,ブリージン大ヒット,1976
ジャコ・パストリアス,音楽,24,ウェザー・リポート参加,1976
チャールズ・ミンガス,音楽,37,ミンガス・アー・アム録音,1959
ロン・カーター,音楽,26,マイルス・クインテット参加,1963
スコット・ラファロ,音楽,25,ビル・エヴァンス・トリオ参加,1959
エスペランサ・スポルディング,音楽,25,グラミー最優秀新人賞,2011
マックス・ローチ,音楽,28,クリフォード・ブラウン・クインテット結成,1954
アート・ブレイキー,音楽,36,ジャズ・メッセンジャーズ結成,1955
アート・ブレイキー,音楽,60,モーニン再評価,1979
エルヴィン・ジョーンズ,音楽,33,コルトレーン・カルテット参加,1960
トニー・ウィリアムス,音楽,17,マイルス・クインテット参加,1963
