person_name,category,person_type,award_name,award_year,work_title
石原慎太郎,文学,WRITER,芥川賞,1956,太陽の季節
大江健三郎,文学,WRITER,芥川賞,1958,飼育
村上龍,文学,WRITER,芥川賞,1976,限りなく透明に近いブルー
石川達三,文学,WRITER,芥川賞,1935,蒼氓
開高健,文学,WRITER,芥川賞,1958,裸の王様
又吉直樹,文学,WRITER,芥川賞,2015,火花
宮本輝,文学,WRITER,芥川賞,1977,螢川
五木寛之,文学,WRITER,芥川賞,1966,さらばモスクワ愚連隊
司馬遼太郎,文学,WRITER,直木賞,1960,梟の城
藤沢周平,文学,WRITER,直木賞,1973,暗殺の年輪
浅田次郎,文学,WRITER,直木賞,1997,鉄道員
渡辺淳一,文学,WRITER,直木賞,1970,光と影
北方謙三,文学,WRITER,直木賞,1991,破軍の星
山田詠美,文学,WRITER,直木賞,1987,ソウル・ミュージック・ラバーズ・オンリー
宮城谷昌光,文学,WRITER,直木賞,1991,夏姫春秋
