person_name,category,person_type,role,achievement,achievement_year
手塚治虫,文化,MANGA_ANIME_CREATOR,漫画家・アニメーター,「鉄腕アトム」で日本初の本格的テレビアニメを制作,1963
鳥山明,文化,MANGA_ANIME_CREATOR,漫画家,「ドラゴンボール」で世界的な人気を獲得,1984
藤子・F・不二雄,文化,MANGA_ANIME_CREATOR,漫画家,「ドラえもん」で国民的キャラクターを創造,1969
長谷川町子,文化,MANGA_ANIME_CREATOR,漫画家,「サザエさん」で日本の家族を描く国民的作品を創造,1946
水木しげる,文化,MANGA_ANIME_CREATOR,漫画家,「ゲゲゲの鬼太郎」で妖怪ブームを牽引,1965
石ノ森章太郎,文化,MANGA_ANIME_CREATOR,漫画家,「仮面ライダー」「サイボーグ009」でSFヒーロー漫画を確立,1964
赤塚不二夫,文化,MANGA_ANIME_CREATOR,漫画家,「天才バカボン」「おそ松くん」でギャグ漫画の新境地を開く,1962
横山光輝,文化,MANGA_ANIME_CREATOR,漫画家,「鉄人28号」で巨大ロボット漫画の先駆けとなる,1956
ちばてつや,文化,MANGA_ANIME_CREATOR,漫画家,「あしたのジョー」でスポーツ漫画の金字塔を築く,1968
高橋留美子,文化,MANGA_ANIME_CREATOR,漫画家,「うる星やつら」「らんま1/2」で女性漫画家として異例の大ヒット,1978
尾田栄一郎,文化,MANGA_ANIME_CREATOR,漫画家,「ONE PIECE」で世界的な少年漫画ブームを牽引,1997
井上雄彦,文化,MANGA_ANIME_CREATOR,漫画家,「スラムダンク」でバスケットボールブームを巻き起こす,1990
大友克洋,文化,MANGA_ANIME_CREATOR,漫画家・映画監督,「AKIRA」で世界に日本の漫画・アニメの芸術性を示す,1982
庵野秀明,文化,MANGA_ANIME_CREATOR,アニメ監督,「新世紀エヴァンゲリオン」で社会現象を巻き起こす,1995
富野由悠季,文化,MANGA_ANIME_CREATOR,アニメ監督,「機動戦士ガンダム」でリアルロボットアニメの礎を築く,1979
