person_name,category,person_type,sub_category,birth_year,description
マイルス・デイヴィス,音楽,REAL,,1926,ジャズの帝王
チック・コリア,音楽,REAL,,1941,ジャズピアニスト
カート・コバーン,音楽,REAL,,1967,ニルヴァーナ
ボビー・マクファーリン,音楽,REAL,,1950,ボーカリスト
ビートルズ,音楽,REAL,,1960,史上最も影響力のあるバンド
ローリング・ストーンズ,音楽,REAL,,1962,ロックバンド
エルヴィス・プレスリー,音楽,REAL,,1935,キング・オブ・ロックンロール
マイケル・ムーア,映画・演劇,REAL,,1954,ドキュメンタリー映画監督
スティーヴン・スピルバーグ,映画・演劇,REAL,,1946,ハリウッド最高の監督
アルフレッド・ヒッチコック,映画・演劇,REAL,,1899,サスペンスの神様
チャールズ・チャップリン,映画・演劇,REAL,,1889,喜劇王
ボブ・サップ,スポーツ,REAL,,1973,K-1格闘家
ピーター・アーツ,スポーツ,REAL,,1970,K-1王者
ボビー・オロゴン,スポーツ,REAL,,1973,格闘家・タレント
吉田知那美,スポーツ,REAL,,1991,カーリング五輪メダリスト
藤澤五月,スポーツ,REAL,,1991,カーリング選手
アインシュタイン,科学・技術,REAL,,1879,相対性理論
バラク・オバマ,政治・社会,REAL,,1961,米国44代大統領
アンゲラ・メルケル,政治・社会,REAL,,1954,ドイツ首相
マハトマ・ガンジー,政治・社会,REAL,,1869,インド独立の父
ウィンストン・チャーチル,政治・社会,REAL,,1874,英国首相
ベートーベン,音楽,REAL,,1770,古典派・ロマン派作曲家
ガブリエル・ガルシア・マルケス,文学,REAL,,1927,ノーベル文学賞作家
スティーヴン・ホーキング,科学・技術,REAL,,1942,宇宙物理学者
