person_name,category,person_type,award_name,award_year
湯川秀樹,物理学,SCIENTIST,ノーベル物理学賞,1949
川端康成,文学,WRITER,ノーベル文学賞,1968
佐藤栄作,政治,POLITICIAN,ノーベル平和賞,1974
利根川進,医学・生理学,SCIENTIST,ノーベル生理学・医学賞,1987
大江健三郎,文学,WRITER,ノーベル文学賞,1994
白川英樹,化学,SCIENTIST,ノーベル化学賞,2000
野依良治,化学,SCIENTIST,ノーベル化学賞,2001
小柴昌俊,物理学,SCIENTIST,ノーベル物理学賞,2002
田中耕一,化学,SCIENTIST,ノーベル化学賞,2002
下村脩,化学,SCIENTIST,ノーベル化学賞,2008
山中伸弥,医学・生理学,SCIENTIST,ノーベル生理学・医学賞,2012
赤﨑勇,物理学,SCIENTIST,ノーベル物理学賞,2014
天野浩,物理学,SCIENTIST,ノーベル物理学賞,2014
中村修二,物理学,SCIENTIST,ノーベル物理学賞,2014
大村智,医学・生理学,SCIENTIST,ノーベル生理学・医学賞,2015
梶田隆章,物理学,SCIENTIST,ノーベル物理学賞,2015
本庶佑,医学・生理学,SCIENTIST,ノーベル生理学・医学賞,2018
吉野彰,化学,SCIENTIST,ノーベル化学賞,2019
真鍋淑郎,物理学,SCIENTIST,ノーベル物理学賞,2021
