person_name,category,person_type,award_name,award_year
織田幹雄,陸上,ATHLETE,オリンピック金メダル,1928
岩崎恭子,競泳,ATHLETE,オリンピック金メダル,1992
伊調馨,レスリング,ATHLETE,オリンピック金メダル,2004
野村忠宏,柔道,ATHLETE,オリンピック金メダル,1996
北島康介,競泳,ATHLETE,オリンピック金メダル,2004
内村航平,体操,ATHLETE,オリンピック金メダル,2012
谷亮子,柔道,ATHLETE,オリンピック金メダル,2000
加藤澤男,体操,ATHLETE,オリンピック金メダル,1968
遠藤幸雄,体操,ATHLETE,オリンピック金メダル,1960
清水宏保,スピードスケート,ATHLETE,オリンピック金メダル,1998
高橋尚子,マラソン,ATHLETE,オリンピック金メダル,2000
野口みずき,マラソン,ATHLETE,オリンピック金メダル,2004
鈴木大地,競泳,ATHLETE,オリンピック金メダル,1988
小平奈緒,スピードスケート,ATHLETE,オリンピック金メダル,2018
阿武教子,柔道,ATHLETE,オリンピック金メダル,2004
