person_name,category,age,person_type,work_title
ルフィ,エンターテイメント,17,FICTIONAL,ONE PIECE
ルフィ,エンターテイメント,19,FICTIONAL,ONE PIECE
ゾロ,エンターテイメント,19,FICTIONAL,ONE PIECE
ゾロ,エンターテイメント,21,FICTIONAL,ONE PIECE
ナミ,エンターテイメント,18,FICTIONAL,ONE PIECE
サンジ,エンターテイメント,19,FICTIONAL,ONE PIECE
孫悟空,エンターテイメント,18,FICTIONAL,ドラゴンボール
孫悟空,エンターテイメント,30,FICTIONAL,ドラゴンボール
ベジータ,エンターテイメント,35,FICTIONAL,ドラゴンボール
悟飯,エンターテイメント,11,FICTIONAL,ドラゴンボール
悟飯,エンターテイメント,16,FICTIONAL,ドラゴンボール
ピカチュウ,エンターテイメント,10,FICTIONAL,ポケットモンスター
サトシ,エンターテイメント,10,FICTIONAL,ポケットモンスター
リュウ,エンターテイメント,25,FICTIONAL,ストリートファイター
リュウ,エンターテイメント,30,FICTIONAL,ストリートファイター
ケン,エンターテイメント,25,FICTIONAL,ストリートファイター
マリオ,エンターテイメント,26,FICTIONAL,スーパーマリオ
リンク,エンターテイメント,17,FICTIONAL,ゼルダの伝説
リンク,エンターテイメント,25,FICTIONAL,ゼルダの伝説
セフィロス,エンターテイメント,25,FICTIONAL,ファイナルファンタジーVII
クラウド,エンターテイメント,21,FICTIONAL,ファイナルファンタジーVII
エレン・イェーガー,エンターテイメント,15,FICTIONAL,進撃の巨人
エレン・イェーガー,エンターテイメント,19,FICTIONAL,進撃の巨人
ミカサ・アッカーマン,エンターテイメント,15,FICTIONAL,進撃の巨人
リヴァイ・アッカーマン,エンターテイメント,30,FICTIONAL,進撃の巨人
アーニャ・フォージャー,エンターテイメント,6,FICTIONAL,SPY×FAMILY
五条悟,エンターテイメント,28,FICTIONAL,呪術廻戦
虎杖悠仁,エンターテイメント,15,FICTIONAL,呪術廻戦
伏黒恵,エンターテイメント,15,FICTIONAL,呪術廻戦
江戸川コナン,エンターテイメント,7,FICTIONAL,名探偵コナン
毛利蘭,エンターテイメント,17,FICTIONAL,名探偵コナン
ケンシロウ,エンターテイメント,25,FICTIONAL,北斗の拳
ラオウ,エンターテイメント,35,FICTIONAL,北斗の拳
キリト,エンターテイメント,16,FICTIONAL,ソードアート・オンライン
アスナ,エンターテイメント,17,FICTIONAL,ソードアート・オンライン
レム,エンターテイメント,18,FICTIONAL,Re:ゼロから始める異世界生活
ナツキ・スバル,エンターテイメント,17,FICTIONAL,Re:ゼロから始める異世界生活
かぐや姫,エンターテイメント,15,FICTIONAL,かぐや様は告らせたい
白銀御行,エンターテイメント,17,FICTIONAL,かぐや様は告らせたい
デンジ,エンターテイメント,16,FICTIONAL,チェンソーマン
パワー,エンターテイメント,17,FICTIONAL,チェンソーマン
アキ,エンターテイメント,20,FICTIONAL,チェンソーマン
フリーレン,エンターテイメント,1000,FICTIONAL,葬送のフリーレン
フェルン,エンターテイメント,16,FICTIONAL,葬送のフリーレン
アーニャ,エンターテイメント,4,FICTIONAL,SPY×FAMILY
ヨル・フォージャー,エンターテイメント,27,FICTIONAL,SPY×FAMILY
ロイド・フォージャー,エンターテイメント,30,FICTIONAL,SPY×FAMILY
セーラームーン,エンターテイメント,14,FICTIONAL,美少女戦士セーラームーン
タキシード仮面,エンターテイメント,18,FICTIONAL,美少女戦士セーラームーン
カードキャプターさくら,エンターテイメント,10,FICTIONAL,カードキャプターさくら
綾波レイ,エンターテイメント,14,FICTIONAL,新世紀エヴァンゲリオン
アスカ,エンターテイメント,14,FICTIONAL,新世紀エヴァンゲリオン
碇シンジ,エンターテイメント,14,FICTIONAL,新世紀エヴァンゲリオン
キラ・ヤマト,エンターテイメント,16,FICTIONAL,機動戦士ガンダムSEED
アムロ・レイ,エンターテイメント,15,FICTIONAL,機動戦士ガンダム
シャア・アズナブル,エンターテイメント,20,FICTIONAL,機動戦士ガンダム
シャア・アズナブル,エンターテイメント,33,FICTIONAL,機動戦士ガンダム 逆襲のシャア
コナン,エンターテイメント,12,FICTIONAL,未来少年コナン
ルパン三世,エンターテイメント,30,FICTIONAL,ルパン三世
次元大介,エンターテイメント,35,FICTIONAL,ルパン三世
銭形警部,エンターテイメント,40,FICTIONAL,ルパン三世
峰不二子,エンターテイメント,28,FICTIONAL,ルパン三世
五右衛門,エンターテイメント,30,FICTIONAL,ルパン三世
涼宮ハルヒ,エンターテイメント,16,FICTIONAL,涼宮ハルヒの憂鬱
キョン,エンターテイメント,16,FICTIONAL,涼宮ハルヒの憂鬱
初音ミク,エンターテイメント,16,FICTIONAL,VOCALOID
鏡音リン,エンターテイメント,14,FICTIONAL,VOCALOID
夜神月,エンターテイメント,17,FICTIONAL,DEATH NOTE
L,エンターテイメント,25,FICTIONAL,DEATH NOTE
スネ夫,エンターテイメント,10,FICTIONAL,ドラえもん
ジャイアン,エンターテイメント,10,FICTIONAL,ドラえもん
しずかちゃん,エンターテイメント,10,FICTIONAL,ドラえもん
銀時,エンターテイメント,27,FICTIONAL,銀魂
新八,エンターテイメント,16,FICTIONAL,銀魂
神楽,エンターテイメント,14,FICTIONAL,銀魂
日向翔陽,エンターテイメント,16,FICTIONAL,ハイキュー!!
影山飛雄,エンターテイメント,16,FICTIONAL,ハイキュー!!
黒子テツヤ,エンターテイメント,16,FICTIONAL,黒子のバスケ
火神大我,エンターテイメント,16,FICTIONAL,黒子のバスケ
越前リョーマ,エンターテイメント,12,FICTIONAL,テニスの王子様
手塚国光,エンターテイメント,14,FICTIONAL,テニスの王子様
緑谷出久,エンターテイメント,16,FICTIONAL,僕のヒーローアカデミア
オールマイト,エンターテイメント,50,FICTIONAL,僕のヒーローアカデミア
爆豪勝己,エンターテイメント,16,FICTIONAL,僕のヒーローアカデミア
轟焦凍,エンターテイメント,16,FICTIONAL,僕のヒーローアカデミア
鬼舞辻無惨,エンターテイメント,1000,FICTIONAL,鬼滅の刃
お館様,エンターテイメント,23,FICTIONAL,鬼滅の刃
煉獄杏寿郎,エンターテイメント,20,FICTIONAL,鬼滅の刃
冨岡義勇,エンターテイメント,21,FICTIONAL,鬼滅の刃
栗花落カナヲ,エンターテイメント,16,FICTIONAL,鬼滅の刃
不死川実弥,エンターテイメント,21,FICTIONAL,鬼滅の刃
甘露寺蜜璃,エンターテイメント,19,FICTIONAL,鬼滅の刃
