person_name,category,age,person_type,work_title
ルフィ,エンターテイメント,57,FICTIONAL,ONE PIECE
ルフィ,エンターテイメント,59,FICTIONAL,ONE PIECE
ゾロ,エンターテイメント,29,FICTIONAL,ONE PIECE
ゾロ,エンターテイメント,28,FICTIONAL,ONE PIECE
ナミ,エンターテイメント,65,FICTIONAL,ONE PIECE
サンジ,エンターテイメント,64,FICTIONAL,ONE PIECE
孫悟空,エンターテイメント,35,FICTIONAL,ドラゴンボール
孫悟空,エンターテイメント,39,FICTIONAL,ドラゴンボール
ベジータ,エンターテイメント,21,FICTIONAL,ドラゴンボール
悟飯,エンターテイメント,68,FICTIONAL,ドラゴンボール
悟飯,エンターテイメント,60,FICTIONAL,ドラゴンボール
ピカチュウ,エンターテイメント,57,FICTIONAL,ポケットモンスター
サトシ,エンターテイメント,29,FICTIONAL,ポケットモンスター
リュウ,エンターテイメント,31,FICTIONAL,ストリートファイター
ケン,エンターテイメント,61,FICTIONAL,ストリートファイター
マリオ,エンターテイメント,35,FICTIONAL,スーパーマリオ
リンク,エンターテイメント,44,FICTIONAL,ゼルダの伝説
リンク,エンターテイメント,52,FICTIONAL,ゼルダの伝説
セフィロス,エンターテイメント,36,FICTIONAL,ファイナルファンタジーVII
クラウド,エンターテイメント,29,FICTIONAL,ファイナルファンタジーVII
エレン・イェーガー,エンターテイメント,37,FICTIONAL,進撃の巨人
エレン・イェーガー,エンターテイメント,43,FICTIONAL,進撃の巨人
ミカサ・アッカーマン,エンターテイメント,65,FICTIONAL,進撃の巨人
リヴァイ・アッカーマン,エンターテイメント,34,FICTIONAL,進撃の巨人
アーニャ・フォージャー,エンターテイメント,68,FICTIONAL,SPY×FAMILY
五条悟,エンターテイメント,67,FICTIONAL,呪術廻戦
虎杖悠仁,エンターテイメント,33,FICTIONAL,呪術廻戦
伏黒恵,エンターテイメント,55,FICTIONAL,呪術廻戦
江戸川コナン,エンターテイメント,40,FICTIONAL,名探偵コナン
毛利蘭,エンターテイメント,69,FICTIONAL,名探偵コナン
ケンシロウ,エンターテイメント,63,FICTIONAL,北斗の拳
ラオウ,エンターテイメント,43,FICTIONAL,北斗の拳
キリト,エンターテイメント,38,FICTIONAL,ソードアート・オンライン
アスナ,エンターテイメント,42,FICTIONAL,ソードアート・オンライン
ナツキ・スバル,エンターテイメント,31,FICTIONAL,Re:ゼロから始める異世界生活
白銀御行,エンターテイメント,69,FICTIONAL,かぐや様は告らせたい
デンジ,エンターテイメント,35,FICTIONAL,チェンソーマン
パワー,エンターテイメント,21,FICTIONAL,チェンソーマン
アキ,エンターテイメント,26,FICTIONAL,チェンソーマン
フリーレン,エンターテイメント,37,FICTIONAL,葬送のフリーレン
フェルン,エンターテイメント,38,FICTIONAL,葬送のフリーレン
アーニャ,エンターテイメント,24,FICTIONAL,SPY×FAMILY
ヨル・フォージャー,エンターテイメント,70,FICTIONAL,SPY×FAMILY
ロイド・フォージャー,エンターテイメント,49,FICTIONAL,SPY×FAMILY
セーラームーン,エンターテイメント,70,FICTIONAL,美少女戦士セーラームーン
タキシード仮面,エンターテイメント,48,FICTIONAL,美少女戦士セーラームーン
