person_name,category,age,person_type,work_title
ルフィ,エンターテイメント,57.0,FICTIONAL,
ルフィ,エンターテイメント,59.0,FICTIONAL,
ゾロ,エンターテイメント,29.0,FICTIONAL,
ゾロ,エンターテイメント,28.0,FICTIONAL,
ナミ,エンターテイメント,65.0,FICTIONAL,
サンジ,エンターテイメント,64.0,FICTIONAL,
孫悟空,エンターテイメント,35.0,FICTIONAL,
孫悟空,エンターテイメント,39.0,FICTIONAL,
ベジータ,エンターテイメント,21.0,FICTIONAL,
悟飯,エンターテイメント,68.0,FICTIONAL,
悟飯,エンターテイメント,60.0,FICTIONAL,
ピカチュウ,エンターテイメント,57.0,FICTIONAL,
サトシ,エンターテイメント,29.0,FICTIONAL,
リュウ,エンターテイメント,31.0,FICTIONAL,
ケン,エンターテイメント,61.0,FICTIONAL,
マリオ,エンターテイメント,35.0,FICTIONAL,
リンク,エンターテイメント,44.0,FICTIONAL,
リンク,エンターテイメント,52.0,FICTIONAL,
セフィロス,エンターテイメント,36.0,FICTIONAL,
クラウド,エンターテイメント,29.0,FICTIONAL,
エレン・イェーガー,エンターテイメント,37.0,FICTIONAL,
エレン・イェーガー,エンターテイメント,43.0,FICTIONAL,
ミカサ・アッカーマン,エンターテイメント,65.0,FICTIONAL,
リヴァイ・アッカーマン,エンターテイメント,34.0,FICTIONAL,
アーニャ・フォージャー,エンターテイメント,68.0,FICTIONAL,
五条悟,エンターテイメント,67.0,FICTIONAL,
虎杖悠仁,エンターテイメント,33.0,FICTIONAL,
伏黒恵,エンターテイメント,55.0,FICTIONAL,
江戸川コナン,エンターテイメント,40.0,FICTIONAL,
毛利蘭,エンターテイメント,69.0,FICTIONAL,
ケンシロウ,エンターテイメント,63.0,FICTIONAL,
ラオウ,エンターテイメント,43.0,FICTIONAL,
キリト,エンターテイメント,38.0,FICTIONAL,
アスナ,エンターテイメント,42.0,FICTIONAL,
ナツキ・スバル,エンターテイメント,31.0,FICTIONAL,
白銀御行,エンターテイメント,69.0,FICTIONAL,
デンジ,エンターテイメント,35.0,FICTIONAL,
パワー,エンターテイメント,21.0,FICTIONAL,
アキ,エンターテイメント,26.0,FICTIONAL,
フリーレン,エンターテイメント,37.0,FICTIONAL,
フェルン,エンターテイメント,38.0,FICTIONAL,
アーニャ,エンターテイメント,24.0,FICTIONAL,
ヨル・フォージャー,エンターテイメント,70.0,FICTIONAL,
ロイド・フォージャー,エンターテイメント,49.0,FICTIONAL,
セーラームーン,エンターテイメント,70.0,FICTIONAL,
タキシード仮面,エンターテイメント,48.0,FICTIONAL,
カードキャプターさくら,エンターテイメント,57.0,FICTIONAL,
綾波レイ,エンターテイメント,57.0,FICTIONAL,
アスカ,エンターテイメント,43.0,FICTIONAL,
碇シンジ,エンターテイメント,49.0,FICTIONAL,
キラ・ヤマト,エンターテイメント,42.0,FICTIONAL,
アムロ・レイ,エンターテイメント,34.0,FICTIONAL,
シャア・アズナブル,エンターテイメント,40.0,FICTIONAL,
シャア・アズナブル,エンターテイメント,32.0,FICTIONAL,
ルパン三世,エンターテイメント,26.0,FICTIONAL,
次元大介,エンターテイメント,27.0,FICTIONAL,
銭形警部,エンターテイメント,58.0,FICTIONAL,
峰不二子,エンターテイメント,24.0,FICTIONAL,
五右衛門,エンターテイメント,33.0,FICTIONAL,
涼宮ハルヒ,エンターテイメント,23.0,FICTIONAL,
キョン,エンターテイメント,60.0,FICTIONAL,
鏡音リン,エンターテイメント,59.0,FICTIONAL,
夜神月,エンターテイメント,56.0,FICTIONAL,
L,エンターテイメント,64.0,FICTIONAL,
スネ夫,エンターテイメント,37.0,FICTIONAL,
ジャイアン,エンターテイメント,39.0,FICTIONAL,
しずかちゃん,エンターテイメント,43.0,FICTIONAL,
銀時,エンターテイメント,43.0,FICTIONAL,
新八,エンターテイメント,64.0,FICTIONAL,
神楽,エンターテイメント,24.0,FICTIONAL,
日向翔陽,エンターテイメント,63.0,FICTIONAL,
影山飛雄,エンターテイメント,34.0,FICTIONAL,
黒子テツヤ,エンターテイメント,67.0,FICTIONAL,
火神大我,エンターテイメント,38.0,FICTIONAL,
越前リョーマ,エンターテイメント,45.0,FICTIONAL,
手塚国光,エンターテイメント,46.0,FICTIONAL,
緑谷出久,エンターテイメント,62.0,FICTIONAL,
オールマイト,エンターテイメント,37.0,FICTIONAL,
爆豪勝己,エンターテイメント,28.0,FICTIONAL,
轟焦凍,エンターテイメント,36.0,FICTIONAL,
鬼舞辻無惨,エンターテイメント,29.0,FICTIONAL,
お館様,エンターテイメント,35.0,FICTIONAL,
煉獄杏寿郎,エンターテイメント,66.0,FICTIONAL,
冨岡義勇,エンターテイメント,28.0,FICTIONAL,
栗花落カナヲ,エンターテイメント,42.0,FICTIONAL,
不死川実弥,エンターテイメント,57.0,FICTIONAL,
甘露寺蜜璃,エンターテイメント,41.0,FICTIONAL,
