person_name,category,age,person_type,work_title
日野原重明,科学・技術,95,REAL,
日野原重明,科学・技術,100,REAL,
金子兜太,芸術・文化,90,REAL,
金子兜太,芸術・文化,95,REAL,
瀬戸内寂聴,文学,90,REAL,
瀬戸内寂聴,文学,95,REAL,
柴田トヨ,文学,92,REAL,
柴田トヨ,文学,99,REAL,
聖路加国際病院の日野原重明,科学・技術,88,REAL,
中曽根康弘,政治・社会,90,REAL,
中曽根康弘,政治・社会,95,REAL,
中曽根康弘,政治・社会,100,REAL,
森光子,エンターテイメント,85,REAL,
森光子,エンターテイメント,90,REAL,
黒柳徹子,エンターテイメント,86,REAL,
黒柳徹子,エンターテイメント,90,REAL,
加山雄三,音楽,85,REAL,
加山雄三,音楽,87,REAL,
草間彌生,芸術・文化,88,REAL,
草間彌生,芸術・文化,93,REAL,
篠田桃紅,芸術・文化,100,REAL,
篠田桃紅,芸術・文化,105,REAL,
三浦雄一郎,スポーツ,85,REAL,
三浦雄一郎,スポーツ,90,REAL,
三笠宮崇仁親王,政治・社会,95,REAL,
三笠宮崇仁親王,政治・社会,100,REAL,
デヴィ・スカルノ,エンターテイメント,85,REAL,
宮城まり子,エンターテイメント,88,REAL,
宮城まり子,エンターテイメント,93,REAL,
渡辺貞夫,音楽,88,REAL,
渡辺貞夫,音楽,91,REAL,
ヘンリー・キッシンジャー,政治・社会,95,REAL,
ヘンリー・キッシンジャー,政治・社会,100,REAL,
京マチ子,映画・演劇,90,REAL,
京マチ子,映画・演劇,95,REAL,
森繁久彌,エンターテイメント,90,REAL,
森繁久彌,エンターテイメント,96,REAL,
伊福部昭,音楽,88,REAL,
伊福部昭,音楽,91,REAL,
杉村春子,映画・演劇,88,REAL,
杉村春子,映画・演劇,91,REAL,
