person_name,category,birth_year,description,person_type,sub_category
ボブ・サップ,スポーツ,1973,K-1ファイター・タレント,REAL,格闘技
藤澤五月,スポーツ,1991,カーリング日本代表,REAL,カーリング
ウェス・アンダーソン,映画・演劇,1969,独特の映像美を持つ映画監督,REAL,映画監督
ミルコ・クロコップ,スポーツ,1974,K-1・PRIDEファイター,REAL,格闘技
ザ・ロック(ドウェイン・ジョンソン),スポーツ,1972,プロレスラー・映画俳優,REAL,プロレス
ジョン・シナ,スポーツ,1977,WWEプロレスラー・俳優,REAL,プロレス
コナー・マクレガー,スポーツ,1988,UFC総合格闘家,REAL,格闘技
吉田夕梨花,スポーツ,1993,カーリング日本代表,REAL,カーリング
渡部暁斗,スポーツ,1988,ノルディック複合選手,REAL,スキー
ショーン・ホワイト,スポーツ,1986,スノーボード金メダリスト,REAL,スノーボード
リンゼイ・ボン,スポーツ,1984,アルペンスキー金メダリスト,REAL,スキー
エマニュエル・マクロン,政治・社会,1977,フランス大統領,REAL,政治
サンダー・ピチャイ,ビジネス,1972,Google CEO,REAL,経営者
