episode_id,person_name,category,age,person_type,current_surprise_score
EP-F64D6B,HIKAKIN,芸術・文化,25,REAL,4.0
EP-EABC44,Vaundy,音楽,20,REAL,4.0
EP-F65075,はじめしゃちょー,エンターテイメント,25,REAL,4.0
EP-50D239,アジャコング,スポーツ,25,REAL,4.0
EP-8491B6,アスカ,スポーツ,25,REAL,3.0
EP-D63606,ダンプ松本,スポーツ,20,REAL,4.0
EP-E30403,ダンプ松本,スポーツ,30,REAL,4.0
EP-E2F0B6,ブル中野,スポーツ,20,REAL,3.0
EP-0E33CE,ブル中野,スポーツ,25,REAL,4.0
EP-253053,ライオネス飛鳥,スポーツ,20,REAL,4.0
EP-29E12C,ライオネス飛鳥,スポーツ,30,REAL,3.0
EP-516AE8,ローランド,エンターテイメント,20,REAL,4.0
EP-A2008C,ローランド,エンターテイメント,30,REAL,4.0
EP-F529BD,三國清三,芸術・文化,20,REAL,4.0
EP-BC9226,三笘薫,スポーツ,20,REAL,4.0
EP-1586FD,中村孝明,芸術・文化,20,REAL,4.0
EP-F5F574,今永昇太,スポーツ,20,REAL,3.0
EP-0A465C,優里,音楽,20,REAL,3.0
EP-721D48,冨安健洋,スポーツ,20,REAL,3.0
EP-693ECD,北斗晶,スポーツ,20,REAL,4.0
EP-79AD2C,北斗晶,スポーツ,35,REAL,4.0
EP-09E45E,吉田正尚,スポーツ,20,REAL,3.0
EP-599F9A,吉田正尚,スポーツ,25,REAL,4.0
EP-4CCF69,坂井宏行,芸術・文化,20,REAL,4.0
EP-CC6620,坂本花織,スポーツ,20,REAL,4.0
EP-C32E7D,堂安律,ビジネス,20,REAL,3.0
EP-A5A211,山本由伸,スポーツ,25,REAL,4.0
EP-D622DE,弘中綾香,エンターテイメント,20,REAL,3.0
EP-D23B44,弘中綾香,エンターテイメント,25,REAL,3.0
EP-0CD874,早田ひな,スポーツ,20,REAL,4.0
EP-E73BAB,村田諒太,ビジネス,20,REAL,4.0
EP-DA689D,田中みな実,エンターテイメント,20,REAL,3.0
EP-60C486,田中みな実,エンターテイメント,25,REAL,4.0
EP-C7301A,紫雷イオ,スポーツ,20,REAL,4.0
EP-39DFD6,藤井風,音楽,20,REAL,4.0
EP-E0E927,道場六三郎,エンターテイメント,20,REAL,4.0
EP-E620FD,道場六三郎,エンターテイメント,25,REAL,4.0
EP-1D43AC,遠藤航,ビジネス,20,REAL,4.0
EP-0ADDEE,遠藤航,ビジネス,30,REAL,4.0
EP-17BDFC,那須川天心,スポーツ,25,REAL,4.0
EP-54C0C4,里見香奈,芸術・文化,20,REAL,4.0
EP-ADF8F5,鍵山優真,スポーツ,20,REAL,4.0
EP-028E4E,陳建一,エンターテイメント,25,REAL,4.0
EP-0FB744,鳥羽和久,芸術・文化,25,REAL,4.0
EP-5319D4,キズナアイ,エンターテイメント,22,REAL,4.0
EP-59E1F6,フィッシャーズ,エンターテイメント,20,REAL,3.0
EP-6CC46D,フィッシャーズ,エンターテイメント,22,REAL,4.0
EP-234E40,ときのそら,エンターテイメント,20,REAL,4.0
EP-27CC07,ときのそら,エンターテイメント,22,REAL,3.0
EP-700987,兎田ぺこら,エンターテイメント,20,REAL,3.0
EP-5B6263,兎田ぺこら,エンターテイメント,22,REAL,4.0
EP-CA8CD9,叶,エンターテイメント,20,REAL,4.0
EP-2635A2,叶,エンターテイメント,22,REAL,4.0
EP-CE3CB0,星街すいせい,エンターテイメント,20,REAL,4.0
EP-8D9AFF,星街すいせい,エンターテイメント,22,REAL,3.0
EP-43C403,てつや,エンターテイメント,20,REAL,3.0
EP-CE78AF,てつや,エンターテイメント,22,REAL,4.0
EP-DFC369,湊あくあ,エンターテイメント,20,REAL,4.0
EP-386ADB,湊あくあ,エンターテイメント,22,REAL,4.0
EP-C544C9,白上フブキ,エンターテイメント,20,REAL,3.0
EP-39BA1E,葛葉,エンターテイメント,20,REAL,3.0
EP-C1C9AF,葛葉,エンターテイメント,22,REAL,3.0
