person_name,category,age_at_episode,person_type,notes
木村拓哉,俳優・女優,25,REAL,SMAP解散後も活躍
香川照之,俳優・女優,45,REAL,歌舞伎俳優・俳優
堺雅人,俳優・女優,40,REAL,半沢直樹で国民的人気
阿部寛,俳優・女優,35,REAL,トリック・ドラゴン桜
長澤まさみ,俳優・女優,25,REAL,若手トップ女優
綾瀬はるか,俳優・女優,28,REAL,義母と娘のブルース
新垣結衣,俳優・女優,27,REAL,逃げ恥で社会現象
石原さとみ,俳優・女優,30,REAL,高校教師など
深田恭子,俳優・女優,25,REAL,富豪刑事など
北川景子,俳優・女優,28,REAL,DAIGO夫人
吉永小百合,俳優・女優,30,REAL,日本映画の女王
高倉健,俳優・女優,45,REAL,昭和の大スター
渡辺謙,俳優・女優,50,REAL,ハリウッドでも活躍
役所広司,俳優・女優,45,REAL,カンヌ男優賞
三船敏郎,俳優・女優,35,REAL,黒澤映画の顔
佐藤健,俳優・女優,25,REAL,るろうに剣心
菅田将暉,俳優・女優,23,REAL,カメレオン俳優
横浜流星,俳優・女優,22,REAL,若手注目株
山﨑賢人,俳優・女優,24,REAL,キングダム主演
神木隆之介,俳優・女優,20,REAL,子役から活躍
有村架純,俳優・女優,25,REAL,あまちゃん
広瀬すず,俳優・女優,20,REAL,ちはやふる
浜辺美波,俳優・女優,18,REAL,君の膵臓をたべたい
永野芽郁,俳優・女優,19,REAL,半分青い
橋本環奈,俳優・女優,20,REAL,1000年に1人の逸材
西島秀俊,俳優・女優,40,REAL,きのう何食べた
大泉洋,俳優・女優,45,REAL,TEAM NACS
吉田鋼太郎,俳優・女優,55,REAL,おっさんずラブ
山田孝之,俳優・女優,30,REAL,闇金ウシジマくん
小栗旬,俳優・女優,35,REAL,花男・クローズ
