person_name,category,age_at_episode,person_type,notes
ダウンタウン,エンターテイメント,35,REAL,お笑い界の頂点
松本人志,エンターテイメント,40,REAL,天才コメディアン
浜田雅功,エンターテイメント,40,REAL,ダウンタウンの相方
さんまに続く大御所,エンターテイメント,50,REAL,笑いの巨人
ナインティナイン,エンターテイメント,30,REAL,めちゃイケ世代
岡村隆史,エンターテイメント,35,REAL,ナイナイ
矢部浩之,エンターテイメント,35,REAL,ナイナイ
爆笑問題,エンターテイメント,40,REAL,時事ネタの王者
太田光,エンターテイメント,45,REAL,爆笑問題
田中裕二,エンターテイメント,45,REAL,爆笑問題
くりぃむしちゅー,エンターテイメント,35,REAL,バラエティの王道
上田晋也,エンターテイメント,40,REAL,くりぃむしちゅー
有田哲平,エンターテイメント,40,REAL,くりぃむしちゅー
サンドウィッチマン,エンターテイメント,40,REAL,M-1王者
伊達みきお,エンターテイメント,38,REAL,サンドウィッチマン
富澤たけし,エンターテイメント,38,REAL,サンドウィッチマン
バカリズム,エンターテイメント,35,REAL,脚本も手掛ける
東野幸治,エンターテイメント,45,REAL,MC力抜群
今田耕司,エンターテイメント,45,REAL,関西の大御所
千原ジュニア,エンターテイメント,40,REAL,話術の達人
千原せいじ,エンターテイメント,42,REAL,千原兄弟
陣内智則,エンターテイメント,38,REAL,映像ネタの達人
NON STYLE,エンターテイメント,30,REAL,M-1王者
井上裕介,エンターテイメント,32,REAL,NON STYLE
石田明,エンターテイメント,32,REAL,NON STYLE
霜降り明星,エンターテイメント,25,REAL,M-1史上最年少
粗品,エンターテイメント,26,REAL,霜降り明星
せいや,エンターテイメント,26,REAL,霜降り明星
かまいたち,エンターテイメント,35,REAL,M-1ファイナリスト
山内健司,エンターテイメント,36,REAL,かまいたち
