person_name,category,age_at_episode,person_type,notes
織田信長,歴史,30,REAL,天下統一への道
豊臣秀吉,歴史,35,REAL,農民から天下人へ
徳川家康,歴史,40,REAL,江戸幕府創設
源頼朝,歴史,35,REAL,鎌倉幕府創設
足利尊氏,歴史,30,REAL,室町幕府創設
武田信玄,歴史,40,REAL,甲斐の虎
上杉謙信,歴史,35,REAL,越後の龍
伊達政宗,歴史,25,REAL,独眼竜
真田幸村,歴史,40,REAL,日本一の兵
坂本龍馬,歴史,28,REAL,薩長同盟の立役者
西郷隆盛,歴史,40,REAL,維新の三傑
大久保利通,歴史,40,REAL,維新の三傑
木戸孝允,歴史,35,REAL,維新の三傑
勝海舟,歴史,40,REAL,江戸無血開城
福沢諭吉,歴史,35,REAL,学問のすすめ
渋沢栄一,歴史,50,REAL,日本資本主義の父
野口英世,歴史,35,REAL,黄熱病研究
北里柴三郎,歴史,45,REAL,近代医学の父
聖徳太子,歴史,30,REAL,十七条憲法
卑弥呼,歴史,40,REAL,邪馬台国女王
紫式部,歴史,35,REAL,源氏物語
清少納言,歴史,30,REAL,枕草子
松尾芭蕉,歴史,45,REAL,俳聖
葛飾北斎,歴史,60,REAL,浮世絵師
歌川広重,歴史,45,REAL,東海道五十三次
宮本武蔵,歴史,30,REAL,二刀流の剣豪
千利休,歴史,60,REAL,茶道の完成者
伊能忠敬,歴史,55,REAL,日本地図作成
杉田玄白,歴史,50,REAL,解体新書
平賀源内,歴史,40,REAL,江戸のダ・ヴィンチ
