person_name,category,age_at_episode,person_type,notes
B'z,音楽,35,REAL,日本最高売上アーティスト
Mr.Children,音楽,30,REAL,90年代の象徴
サザンオールスターズ,音楽,40,REAL,日本ロックの重鎮
X JAPAN,音楽,28,REAL,ビジュアル系の先駆者
GLAY,音楽,27,REAL,20万人ライブ伝説
L'Arc〜en〜Ciel,音楽,30,REAL,世界的人気バンド
EXILE,音楽,35,REAL,ダンス＆ボーカルグループ
AKB48,音楽,20,REAL,国民的アイドル
乃木坂46,音楽,22,REAL,坂道グループの先駆け
欅坂46,音楽,20,REAL,アンチテーゼアイドル
嵐,音楽,30,REAL,国民的アイドルグループ
SMAP,音楽,35,REAL,アイドル革命
KinKi Kids,音楽,25,REAL,デビュー曲1位
V6,音楽,28,REAL,学校へ行こう
Hey! Say! JUMP,音楽,22,REAL,平成生まれジャニーズ
King & Prince,音楽,23,REAL,令和アイドル
安室奈美恵,音楽,30,REAL,平成の歌姫
倖田來未,音楽,25,REAL,エロかっこいい
西野カナ,音楽,24,REAL,恋愛ソングの女王
きゃりーぱみゅぱみゅ,音楽,22,REAL,原宿カルチャー
Perfume,音楽,25,REAL,テクノポップユニット
BABYMETAL,音楽,18,REAL,メタルとアイドルの融合
ONE OK ROCK,音楽,26,REAL,世界進出ロックバンド
King Gnu,音楽,28,REAL,令和ロックバンド
Official髭男dism,音楽,28,REAL,紅白連続出場
back number,音楽,30,REAL,切ない恋愛ソング
RADWIMPSの野田洋次郎,音楽,28,REAL,君の名は主題歌
Vaundy,音楽,22,REAL,Z世代アーティスト
藤井風,音楽,24,REAL,令和の天才
氷川きよし,音楽,25,REAL,演歌界のプリンス
五木ひろし,音楽,40,REAL,演歌の大御所
細川たかし,音楽,35,REAL,北酒場
森進一,音楽,30,REAL,おふくろさん
八代亜紀,音楽,35,REAL,雨の慕情
石川さゆり,音楽,25,REAL,津軽海峡冬景色
坂本冬美,音楽,28,REAL,演歌の女王
DREAMS COME TRUE,音楽,30,REAL,ドリカム
Every Little Thing,音楽,25,REAL,ELT
globe,音楽,28,REAL,小室ファミリー
TRF,音楽,27,REAL,ダンスミュージック
久保田利伸,音楽,30,REAL,R&Bの先駆者
平井堅,音楽,28,REAL,大きな古時計
MISIA,音楽,30,REAL,5オクターブの歌姫
AI,音楽,25,REAL,Story
絢香,音楽,20,REAL,三日月
supercell,音楽,25,REAL,ボカロP発
YOASOBI,音楽,22,REAL,夜に駆ける
ずっと真夜中でいいのに,音楽,24,REAL,ZUTOMAYO
ヨルシカ,音楽,25,REAL,文学的楽曲
Eve,音楽,25,REAL,呪術廻戦OP
