person_name,category,age_at_episode,person_type,notes
岸田文雄,政治・社会,60,REAL,第100代内閣総理大臣
菅義偉,政治・社会,70,REAL,第99代内閣総理大臣
安倍晋三,政治・社会,55,REAL,最長在任首相
小泉純一郎,政治・社会,55,REAL,郵政民営化
麻生太郎,政治・社会,68,REAL,財務大臣
石破茂,政治・社会,60,REAL,防衛大臣
河野太郎,政治・社会,55,REAL,デジタル大臣
小池百合子,政治・社会,65,REAL,東京都知事
橋下徹,政治・社会,42,REAL,大阪府知事
吉村洋文,政治・社会,45,REAL,大阪府知事
蓮舫,政治・社会,50,REAL,参議院議員
辻元清美,政治・社会,60,REAL,衆議院議員
枝野幸男,政治・社会,55,REAL,立憲民主党代表
志位和夫,政治・社会,65,REAL,共産党委員長
山本太郎,政治・社会,45,REAL,れいわ新選組
田中角栄,政治・社会,55,REAL,日本列島改造論
中曽根康弘,政治・社会,65,REAL,国鉄民営化
竹下登,政治・社会,63,REAL,消費税導入
橋本龍太郎,政治・社会,55,REAL,財政構造改革
細川護熙,政治・社会,55,REAL,非自民連立政権
村山富市,政治・社会,70,REAL,社会党首相
森喜朗,政治・社会,63,REAL,東京五輪組織委員長
小渕恵三,政治・社会,61,REAL,平成の元号発表
野田佳彦,政治・社会,55,REAL,消費税増税決定
鳩山由紀夫,政治・社会,62,REAL,民主党政権
菅直人,政治・社会,64,REAL,東日本大震災対応
柳井正,ビジネス,60,REAL,ユニクロ創業者
孫正義,ビジネス,45,REAL,ソフトバンク創業者
三木谷浩史,ビジネス,50,REAL,楽天創業者
前澤友作,ビジネス,45,REAL,ZOZO創業者
藤田晋,ビジネス,40,REAL,サイバーエージェント
堀江貴文,ビジネス,35,REAL,ライブドア
永守重信,ビジネス,65,REAL,日本電産創業者
稲盛和夫,ビジネス,55,REAL,京セラ創業者
本田宗一郎,ビジネス,50,REAL,ホンダ創業者
松下幸之助,ビジネス,55,REAL,パナソニック創業者
盛田昭夫,ビジネス,45,REAL,ソニー創業者
井深大,ビジネス,50,REAL,ソニー共同創業者
豊田章男,ビジネス,60,REAL,トヨタ社長
似鳥昭雄,ビジネス,65,REAL,ニトリ創業者
鈴木敏文,ビジネス,70,REAL,セブン&アイ
岩田聡,ビジネス,50,REAL,任天堂社長
宮内義彦,ビジネス,65,REAL,オリックス会長
御手洗冨士夫,ビジネス,70,REAL,キヤノン会長
出井伸之,ビジネス,60,REAL,ソニーCEO
平井一夫,ビジネス,55,REAL,ソニーCEO
新浪剛史,ビジネス,55,REAL,サントリー社長
南場智子,ビジネス,50,REAL,DeNA創業者
