person_name,category,age_at_episode,person_type,notes
久保建英,スポーツ,20,REAL,レアル・ソシエダ
三笘薫,スポーツ,25,REAL,ブライトン
冨安健洋,スポーツ,24,REAL,アーセナル
遠藤航,スポーツ,30,REAL,リヴァプール
鎌田大地,スポーツ,27,REAL,クリスタル・パレス
堂安律,スポーツ,25,REAL,フライブルク
南野拓実,スポーツ,28,REAL,モナコ
吉田麻也,スポーツ,35,REAL,キャプテン
長谷部誠,スポーツ,38,REAL,ブンデスリーガ最多出場
香川真司,スポーツ,30,REAL,ドルトムント黄金期
本田圭佑,スポーツ,30,REAL,ACミラン10番
内田篤人,スポーツ,28,REAL,シャルケ
長友佑都,スポーツ,32,REAL,インテル
岡崎慎司,スポーツ,30,REAL,レスター優勝
中田英寿,スポーツ,25,REAL,ペルージャ衝撃デビュー
小野伸二,スポーツ,22,REAL,黄金の中盤
稲本潤一,スポーツ,23,REAL,プレミアリーグ
中村俊輔,スポーツ,28,REAL,セルティック
中村憲剛,スポーツ,35,REAL,フロンターレ一筋
遠藤保仁,スポーツ,35,REAL,ガンバ大阪レジェンド
井上尚弥,スポーツ,28,REAL,モンスター
那須川天心,スポーツ,22,REAL,神童
村田諒太,スポーツ,32,REAL,ミドル級王者
内村航平,スポーツ,28,REAL,体操キング
白井健三,スポーツ,22,REAL,ひねり王子
阿部詩,スポーツ,22,REAL,柔道金メダル
大野将平,スポーツ,28,REAL,柔道金メダル
石川佳純,スポーツ,28,REAL,卓球女王
伊藤美誠,スポーツ,22,REAL,卓球金メダル
張本智和,スポーツ,18,REAL,卓球怪物
松山英樹,スポーツ,28,REAL,マスターズ制覇
渋野日向子,スポーツ,22,REAL,全英女子オープン
畑岡奈紗,スポーツ,23,REAL,米ツアー優勝
国枝慎吾,スポーツ,35,REAL,車いすテニス世界1位
錦織圭,スポーツ,28,REAL,世界ランク4位
大坂なおみ,スポーツ,22,REAL,全米オープン優勝
西岡良仁,スポーツ,27,REAL,デビスカップ
平野美宇,スポーツ,20,REAL,アジア選手権優勝
堀米雄斗,スポーツ,22,REAL,スケートボード金
西矢椛,スポーツ,13,REAL,史上最年少金メダル
四十住さくら,スポーツ,18,REAL,スケートボード金
瀬戸大也,スポーツ,25,REAL,世界水泳金メダル
萩野公介,スポーツ,22,REAL,400m個人メドレー金
北島康介,スポーツ,24,REAL,超気持ちいい
入江陵介,スポーツ,25,REAL,背泳ぎ銀メダル
池江璃花子,スポーツ,20,REAL,白血病からの復活
ケンブリッジ飛鳥,スポーツ,24,REAL,400mリレー銀
桐生祥秀,スポーツ,21,REAL,9秒98達成
山縣亮太,スポーツ,29,REAL,日本記録保持者
サニブラウン,スポーツ,23,REAL,100m日本記録
