person_name,category,age_at_episode,person_type,notes
羽生善治,学術・文化,45,REAL,将棋永世七冠
藤井聡太,学術・文化,20,REAL,史上最年少八冠
渡辺明,学術・文化,38,REAL,将棋名人
ゆうこりん（小倉優子）,エンターテインメント,40,REAL,タレント
辻希美,エンターテインメント,35,REAL,元モー娘
りゅうちぇる,エンターテインメント,25,REAL,タレント
フワちゃん,エンターテインメント,28,REAL,YouTuber・タレント
あのちゃん,エンターテインメント,22,REAL,アイドル・タレント
藤本敏史,エンターテインメント,50,REAL,FUJIWARA
宮川大輔,エンターテインメント,50,REAL,お笑い芸人
テリー伊藤,エンターテインメント,60,REAL,演出家
梅沢富美男,エンターテインメント,65,REAL,俳優・タレント
研ナオコ,エンターテインメント,60,REAL,歌手・タレント
玉置浩二,音楽,55,REAL,安全地帯
甲本ヒロト,音楽,55,REAL,ザ・クロマニヨンズ
真島昌利,音楽,55,REAL,ザ・ブルーハーツ
奥田民生,音楽,50,REAL,ユニコーン
山崎まさよし,音楽,45,REAL,シンガーソングライター
スガシカオ,音楽,50,REAL,シンガーソングライター
ASKA,音楽,55,REAL,CHAGE and ASKA
槇原敬之,音楽,50,REAL,シンガーソングライター
YOSHIKI,音楽,50,REAL,X JAPAN
TERU,音楽,50,REAL,GLAY
桜井和寿,音楽,50,REAL,Mr.Children
