person_name,category,age_at_episode,person_type,notes
古舘伊知郎,エンターテインメント,45,REAL,実況の神様
福澤朗,エンターテインメント,45,REAL,ジャストミート
徳光和夫,エンターテインメント,60,REAL,感涙アナウンサー
みのもんた,エンターテインメント,55,REAL,朝ズバッ
久米宏,エンターテインメント,55,REAL,ニュースステーション
筑紫哲也,政治・社会,55,REAL,NEWS23
宮根誠司,エンターテインメント,50,REAL,ミヤネ屋
安住紳一郎,エンターテインメント,40,REAL,TBSアナウンサー
羽鳥慎一,エンターテインメント,45,REAL,モーニングショー
草野仁,エンターテインメント,55,REAL,世界ふしぎ発見
有働由美子,エンターテインメント,48,REAL,あさイチ
水卜麻美,エンターテインメント,30,REAL,日テレアナウンサー
加藤綾子,エンターテインメント,32,REAL,カトパン
田中みな実,エンターテインメント,33,REAL,アナウンサー
弘中綾香,エンターテインメント,28,REAL,テレ朝アナウンサー
