person_name,category,age_at_episode,person_type,notes
HIKAKIN,エンターテインメント,30,REAL,YouTuber
はじめしゃちょー,エンターテインメント,25,REAL,YouTuber
東海オンエア てつや,エンターテインメント,28,REAL,YouTuber
水溜りボンド カンタ,エンターテインメント,28,REAL,YouTuber
Fischer's シルクロード,エンターテインメント,28,REAL,YouTuber
ヒカル,エンターテインメント,28,REAL,YouTuber
ラファエル,エンターテインメント,35,REAL,YouTuber
コムドット やまと,エンターテインメント,23,REAL,YouTuber
平成フラミンゴ NICO,エンターテインメント,25,REAL,YouTuber
QuizKnock 伊沢拓司,学術・文化,27,REAL,クイズ王
レペゼン地球 DJ社長,エンターテインメント,28,REAL,YouTuber
朝倉未来,スポーツ,30,REAL,格闘家YouTuber
朝倉海,スポーツ,28,REAL,格闘家YouTuber
ジュキヤ,エンターテインメント,25,REAL,YouTuber
ゆきりぬ,エンターテインメント,28,REAL,YouTuber
