person_name,category,age_at_episode,person_type,notes
庵野秀明,アニメ・漫画・ゲーム,35,REAL,エヴァンゲリオン監督
細田守,アニメ・漫画・ゲーム,40,REAL,サマーウォーズ監督
新海誠,アニメ・漫画・ゲーム,43,REAL,君の名は。監督
押井守,アニメ・漫画・ゲーム,45,REAL,攻殻機動隊監督
今敏,アニメ・漫画・ゲーム,40,REAL,パプリカ監督
湯浅政明,アニメ・漫画・ゲーム,45,REAL,映像研監督
原恵一,アニメ・漫画・ゲーム,40,REAL,クレしん監督
片渕須直,アニメ・漫画・ゲーム,50,REAL,この世界の片隅に監督
山田尚子,アニメ・漫画・ゲーム,30,REAL,けいおん監督
長井龍雪,アニメ・漫画・ゲーム,35,REAL,あの花監督
水島努,アニメ・漫画・ゲーム,40,REAL,ガルパン監督
出崎統,アニメ・漫画・ゲーム,45,REAL,あしたのジョー監督
富野由悠季,アニメ・漫画・ゲーム,40,REAL,ガンダム監督
高畑勲,アニメ・漫画・ゲーム,50,REAL,火垂るの墓監督
大友克洋,アニメ・漫画・ゲーム,35,REAL,AKIRA監督
