person_name,category,age_at_episode,person_type,notes
宮本茂,アニメ・漫画・ゲーム,35,REAL,マリオ生みの親
小島秀夫,アニメ・漫画・ゲーム,40,REAL,メタルギア
堀井雄二,アニメ・漫画・ゲーム,35,REAL,ドラゴンクエスト
坂口博信,アニメ・漫画・ゲーム,35,REAL,ファイナルファンタジー
横井軍平,アニメ・漫画・ゲーム,45,REAL,ゲームボーイ開発者
岩田聡,ビジネス,42,REAL,任天堂社長
桜井政博,アニメ・漫画・ゲーム,30,REAL,スマブラ
三上真司,アニメ・漫画・ゲーム,35,REAL,バイオハザード
神谷英樹,アニメ・漫画・ゲーム,35,REAL,デビルメイクライ
名越稔洋,アニメ・漫画・ゲーム,40,REAL,龍が如く
上田文人,アニメ・漫画・ゲーム,35,REAL,ICO・ワンダ
田尻智,アニメ・漫画・ゲーム,30,REAL,ポケモン生みの親
遠藤雅伸,アニメ・漫画・ゲーム,30,REAL,ゼビウス
鈴木裕,アニメ・漫画・ゲーム,35,REAL,シェンムー
野村哲也,アニメ・漫画・ゲーム,30,REAL,キングダムハーツ
