person_name,category,age_at_episode,person_type,notes
山寺宏一,エンターテイメント,35,REAL,七色の声
林原めぐみ,エンターテイメント,30,REAL,エヴァ綾波レイ
緒方恵美,エンターテイメント,30,REAL,エヴァシンジ
大塚明夫,エンターテイメント,40,REAL,メタルギア スネーク
石田彰,エンターテイメント,35,REAL,エヴァ渚カヲル
子安武人,エンターテイメント,35,REAL,ジョジョDIO
関智一,エンターテイメント,30,REAL,ドラえもんスネ夫
神谷浩史,エンターテイメント,35,REAL,進撃リヴァイ
宮野真守,エンターテイメント,30,REAL,デスノート夜神月
花澤香菜,エンターテイメント,25,REAL,物語シリーズ撫子
水樹奈々,エンターテイメント,30,REAL,歌手声優
田中真弓,エンターテイメント,35,REAL,ルフィ
野沢雅子,エンターテイメント,45,REAL,ドラゴンボール悟空
古谷徹,エンターテイメント,35,REAL,ガンダムアムロ
池田秀一,エンターテイメント,35,REAL,ガンダムシャア
