person_name,category,person_type,birth_year,death_year
AKIRA,エンターテイメント,REAL,1993.0,
Aimyon,音楽,REAL,2005.0,
Amanda Clark,科学・技術,REAL,1986.0,
Awich,音楽,REAL,1993.0,
Ayase,音楽,REAL,2000.0,
Beyoncé,エンターテイメント,REAL,1990.0,
CLAMP,アニメ・漫画・ゲーム,REAL,1990.0,
DJ KRUSH,音楽,REAL,1993.0,
DJ社長,エンターテイメント,REAL,1993.0,
"Dwayne ""The Rock"" Johnson",エンターテイメント,REAL,1987.0,
D・H・ロレンス,文学,REAL,1990.0,
Fukase,音楽,REAL,2005.0,
F・スコット・フィッツジェラルド,文学,REAL,1995.0,
HEATH,音楽,REAL,2005.0,
HISASHI,音楽,REAL,2005.0,
Hergé,アニメ・漫画・ゲーム,REAL,1987.0,
INORAN,音楽,REAL,2005.0,
J,音楽,REAL,2005.0,
J.D.サリンジャー,芸術・文化,REAL,1993.0,
JIRO,音楽,REAL,2005.0,
JUJU,音楽,REAL,1990.0,
Jessica Taylor,科学・技術,REAL,1988.0,
J・D・サリンジャー,文学,REAL,1990.0,
J・K・ローリング,文学,REAL,1990.0,
MIKIKO,エンターテイメント,REAL,1989.0,
Madonna,エンターテイメント,REAL,1990.0,
NIGO,エンターテイメント,REAL,1995.0,
Notch,アニメ・漫画・ゲーム,REAL,1993.0,
OKAMA,アニメ・漫画・ゲーム,REAL,1990.0,
ONE,アニメ・漫画・ゲーム,REAL,1995.0,
PATA,音楽,REAL,2005.0,
Prince,音楽,REAL,1990.0,
SADS,音楽,REAL,1993.0,
SAM,エンターテイメント,REAL,1995.0,
SUGIZO,音楽,REAL,2005.0,
Shakira,音楽,REAL,1993.0,
TAKURO,音楽,REAL,2005.0,
THE BLUE HEARTS,音楽,REAL,1990.0,
TKO・木下隆行,エンターテイメント,REAL,1990.0,
TKO・木本武宏,エンターテイメント,REAL,1990.0,
TMN・木根尚登,音楽,REAL,1995.0,
Toshl,音楽,REAL,2005.0,
UA,音楽,REAL,1995.0,
ken,エンターテイメント,REAL,1990.0,
あかほりさとる,アニメ・漫画・ゲーム,REAL,1987.0,
おかずクラブ,エンターテイメント,REAL,1990.0,
きくちゆうき,アニメ・漫画・ゲーム,REAL,1995.0,
きゃりーぱみゅぱみゅ,音楽,REAL,1994.0,
さかなクン,学術・研究,REAL,1990.0,
さだまさし,音楽,REAL,1995.0,
