person_name,person_type,age,category,group
徳川家康,REAL,20,歴史,日本史
徳川家康,REAL,30,歴史,日本史
徳川家康,REAL,40,歴史,日本史
徳川家康,REAL,50,歴史,日本史
徳川家康,REAL,60,歴史,日本史
坂本龍馬,REAL,15,歴史,日本史
坂本龍馬,REAL,20,歴史,日本史
坂本龍馬,REAL,25,歴史,日本史
坂本龍馬,REAL,28,歴史,日本史
坂本龍馬,REAL,31,歴史,日本史
武田信玄,REAL,20,歴史,日本史
武田信玄,REAL,30,歴史,日本史
武田信玄,REAL,40,歴史,日本史
武田信玄,REAL,50,歴史,日本史
武田信玄,REAL,60,歴史,日本史
上杉謙信,REAL,20,歴史,日本史
上杉謙信,REAL,30,歴史,日本史
上杉謙信,REAL,40,歴史,日本史
上杉謙信,REAL,50,歴史,日本史
上杉謙信,REAL,60,歴史,日本史
聖徳太子,REAL,20,歴史,日本史
聖徳太子,REAL,30,歴史,日本史
聖徳太子,REAL,40,歴史,日本史
聖徳太子,REAL,50,歴史,日本史
聖徳太子,REAL,60,歴史,日本史
源頼朝,REAL,20,歴史,日本史
源頼朝,REAL,30,歴史,日本史
源頼朝,REAL,40,歴史,日本史
源頼朝,REAL,50,歴史,日本史
源頼朝,REAL,60,歴史,日本史
チンギス・ハン,REAL,20,歴史,アジア史
チンギス・ハン,REAL,30,歴史,アジア史
チンギス・ハン,REAL,40,歴史,アジア史
チンギス・ハン,REAL,50,歴史,アジア史
チンギス・ハン,REAL,60,歴史,アジア史
始皇帝,REAL,20,歴史,アジア史
始皇帝,REAL,30,歴史,アジア史
始皇帝,REAL,40,歴史,アジア史
始皇帝,REAL,50,歴史,アジア史
始皇帝,REAL,60,歴史,アジア史
諸葛亮,REAL,20,歴史,アジア史
諸葛亮,REAL,30,歴史,アジア史
諸葛亮,REAL,40,歴史,アジア史
諸葛亮,REAL,50,歴史,アジア史
諸葛亮,REAL,60,歴史,アジア史
曹操,REAL,20,歴史,アジア史
曹操,REAL,30,歴史,アジア史
曹操,REAL,40,歴史,アジア史
曹操,REAL,50,歴史,アジア史
曹操,REAL,60,歴史,アジア史
ジョージ・ワシントン,REAL,20,歴史,アメリカ史
ジョージ・ワシントン,REAL,30,歴史,アメリカ史
ジョージ・ワシントン,REAL,40,歴史,アメリカ史
ジョージ・ワシントン,REAL,50,歴史,アメリカ史
ジョージ・ワシントン,REAL,60,歴史,アメリカ史
エイブラハム・リンカーン,REAL,20,歴史,アメリカ史
エイブラハム・リンカーン,REAL,30,歴史,アメリカ史
エイブラハム・リンカーン,REAL,40,歴史,アメリカ史
エイブラハム・リンカーン,REAL,50,歴史,アメリカ史
エイブラハム・リンカーン,REAL,60,歴史,アメリカ史
ベンジャミン・フランクリン,REAL,20,歴史,アメリカ史
ベンジャミン・フランクリン,REAL,30,歴史,アメリカ史
ベンジャミン・フランクリン,REAL,40,歴史,アメリカ史
ベンジャミン・フランクリン,REAL,50,歴史,アメリカ史
ベンジャミン・フランクリン,REAL,60,歴史,アメリカ史
