person_name,age,category,hint
日野原重明,100,医学,聖路加国際病院名誉院長・100歳超え現役医師
きんさんぎんさん（成田きん）,100,エンターテイメント,100歳双子姉妹
きんさんぎんさん（蟹江ぎん）,100,エンターテイメント,100歳双子姉妹
渋沢栄一,91,ビジネス,日本資本主義の父
昭和天皇,87,政治,昭和の象徴
裕仁（昭和天皇）,85,政治,日本の天皇
中曽根康弘,101,政治,元内閣総理大臣・100歳超え
森光子,92,俳優・女優,放浪記2000回公演
赤塚不二夫,72,漫画,ギャグ漫画の神様
聖路加国際病院 日野原重明,99,医学,100歳まで現役医師
笹川良一,96,ビジネス,日本船舶振興会会長
三笠宮崇仁,100,皇室,最高齢皇族
瀬戸内寂聴,99,文学・芸術,僧侶・作家
黒柳徹子,91,エンターテイメント,徹子の部屋司会
加山雄三,87,音楽,若大将
草笛光子,91,俳優・女優,名女優
岸恵子,91,俳優・女優,国際的女優
西田敏行,76,俳優・女優,名優
梅宮辰夫,81,俳優・女優,東映任侠スター
高倉健,83,俳優・女優,日本映画界の巨星
田中邦衛,88,俳優・女優,北の国からの父
渥美清,68,俳優・女優,寅さん
クリント・イーストウッド,94,俳優・女優,映画監督・俳優
カーク・ダグラス,103,俳優・女優,ハリウッドレジェンド
オリビア・デ・ハヴィランド,104,俳優・女優,風と共に去りぬ
ベティ・ホワイト,99,俳優・女優,アメリカのコメディ女優
メル・ブルックス,98,映画,コメディ映画監督
ディック・ヴァン・ダイク,98,俳優・女優,メリーポピンズ
ヘンリー・キッシンジャー,100,政治,元米国務長官
ジミー・カーター,100,政治,元米大統領
エリザベス2世,96,政治,英国女王
チャーチル,90,政治,英国首相
マザー・テレサ,87,宗教,ノーベル平和賞受賞者
ダライ・ラマ14世,89,宗教,チベット仏教最高指導者
ローマ教皇ベネディクト16世,95,宗教,元教皇
パブロ・ピカソ,91,美術,20世紀最大の画家
葛飾北斎,88,美術,浮世絵師
横山大観,89,美術,日本画の巨匠
平山郁夫,79,美術,シルクロード画家
東山魁夷,90,美術,日本画家
小澤征爾,88,音楽,世界的指揮者
