person_name,age,category,fame_score,existing_eps
ベティ・ホワイト,44,エンターテイメント,70.0,1
長井龍雪,44,アニメ・漫画・ゲーム,70.0,0
ベティ・ホワイト,0,エンターテイメント,70.0,1
長井龍雪,0,アニメ・漫画・ゲーム,70.0,0
伊藤元重,0,学術・研究,70.0,0
根岸隆,0,学術・研究,70.0,0
ジョン・マッケンタイア,0,音楽,70.0,1
小林慶一郎,0,学術・研究,70.0,0
伊達みきお,0,エンターテイメント,70.0,1
ジョン・ボーナム,0,音楽,70.0,1
鎌田大地,0,スポーツ,70.0,1
伊達政宗,0,歴史,70.0,1
バラク・オバマ,0,政治・社会,70.0,1
筑紫哲也,0,政治・社会,70.0,0
ヤン・ルカン,0,科学・技術,70.0,1
裕仁（昭和天皇）,0,政治・社会,70.0,0
江國香織,0,文学,70.0,0
ジョン・シナ,0,スポーツ,70.0,1
佐倉綾音,0,エンターテイメント,70.0,0
ジョン・コルトレーン,0,音楽,70.0,1
矢部浩之,0,エンターテイメント,70.0,1
ひろゆき,0,エンターテイメント,70.0,0
佐藤オオキ,0,芸術・文化,70.0,0
佐藤優,0,学術・研究,70.0,0
ジョルジュ・サンピエール,0,スポーツ,70.0,1
エディ・ヴェダー,0,音楽,70.0,1
ジョニー・グリーンウッド,0,音楽,70.0,1
池田秀一,0,エンターテイメント,70.0,0
ウラジーミル・プーチン,0,政治・社会,70.0,1
西岡良仁,0,スポーツ,70.0,1
QuizKnock 伊沢拓司,0,学術・研究,70.0,0
アインシュタイン,0,科学・技術,70.0,2
水溜りボンド カンタ,0,エンターテイメント,70.0,0
小野伸二,0,スポーツ,70.0,1
氷川きよし,0,音楽,70.0,1
志位和夫,0,政治・社会,70.0,1
ノーマン・リア,0,エンターテイメント,70.0,1
ウィンストン・チャーチル,0,政治・社会,70.0,1
ONE OK ROCK,0,音楽,70.0,1
スガシカオ,0,音楽,70.0,0
ウェイン・ショーター,0,音楽,70.0,1
小渕恵三,0,政治・社会,70.0,1
ウェス・アンダーソン,0,映画・演劇,70.0,1
ハリー・ベラフォンテ,0,音楽,70.0,1
笠原将弘,0,芸術・文化,70.0,0
ハルク・ホーガン,0,スポーツ,70.0,1
今敏,0,アニメ・漫画・ゲーム,70.0,0
りゅうちぇる,0,エンターテイメント,70.0,0
石川さゆり,0,音楽,70.0,1
今田耕司,0,エンターテイメント,70.0,1
鈴木裕,0,アニメ・漫画・ゲーム,70.0,0
ハービー・ハンコック,0,音楽,70.0,1
バカリズム,0,エンターテイメント,70.0,1
ゆうこりん（小倉優子）,0,エンターテイメント,70.0,0
ジョージ・ソロス,0,ビジネス,70.0,1
悠木碧,0,エンターテイメント,70.0,0
沢城みゆき,0,エンターテイメント,70.0,0
RADWIMPSの野田洋次郎,0,音楽,70.0,1
青木昌彦,0,学術・研究,70.0,0
ジミ・ヘンドリックス,0,音楽,70.0,1
ミック・ジャガー,0,音楽,70.0,1
陣内智則,0,エンターテイメント,70.0,1
くりぃむしちゅー,0,エンターテイメント,70.0,1
エリック・クラプトン,0,音楽,70.0,1
ジミー・ペイジ,0,音楽,70.0,1
きんさんぎんさん（蟹江ぎん）,0,エンターテイメント,70.0,0
宮内義彦,0,ビジネス,70.0,1
白洲次郎,0,歴史,70.0,0
きんさんぎんさん（成田きん）,0,エンターテイメント,70.0,0
冨山和彦,0,ビジネス,70.0,0
きゃりーぱみゅぱみゅ,0,音楽,70.0,1
出崎統,0,アニメ・漫画・ゲーム,70.0,0
ジム・ジャームッシュ,0,映画・演劇,70.0,1
畑岡奈紗,0,スポーツ,70.0,1
ジェームズ・ラブロック,0,科学・技術,70.0,1
浜田雅功,0,エンターテイメント,70.0,1
浜辺美波,0,俳優・女優,70.0,1
前田利家,0,政治・社会,70.0,0
ジェンスン・ファン,0,ビジネス,70.0,1
細川護熙,0,政治・社会,70.0,1
ビリー・ホリデイ,0,音楽,70.0,1
エルヴィス・プレスリー,0,音楽,70.0,1
ビル・エヴァンス,0,音楽,70.0,1
甲本ヒロト,0,音楽,70.0,0
阿部詩,0,スポーツ,70.0,1
宮川大輔,0,エンターテイメント,70.0,0
真島昌利,0,音楽,70.0,0
Fischer's シルクロード,0,エンターテイメント,70.0,0
パット・メセニー,0,音楽,70.0,1
河野太郎,0,政治・社会,70.0,1
富澤たけし,0,エンターテイメント,70.0,1
エマニュエル・マクロン,0,政治・社会,70.0,1
粗品,0,エンターテイメント,70.0,1
メル・ブルックス,0,エンターテイメント,70.0,1
宮野真守,0,エンターテイメント,70.0,0
倖田來未,0,音楽,70.0,1
ベティ・ホワイト,2,エンターテイメント,70.0,1
長井龍雪,2,アニメ・漫画・ゲーム,70.0,0
伊藤元重,2,学術・研究,70.0,0
根岸隆,2,学術・研究,70.0,0
ジョン・マッケンタイア,2,音楽,70.0,1
小林慶一郎,2,学術・研究,70.0,0
伊達みきお,2,エンターテイメント,70.0,1
ジョン・ボーナム,2,音楽,70.0,1
鎌田大地,2,スポーツ,70.0,1
伊達政宗,2,歴史,70.0,1
バラク・オバマ,2,政治・社会,70.0,1
筑紫哲也,2,政治・社会,70.0,0
ヤン・ルカン,2,科学・技術,70.0,1
裕仁（昭和天皇）,2,政治・社会,70.0,0
江國香織,2,文学,70.0,0
ジョン・シナ,2,スポーツ,70.0,1
佐倉綾音,2,エンターテイメント,70.0,0
ジョン・コルトレーン,2,音楽,70.0,1
矢部浩之,2,エンターテイメント,70.0,1
ひろゆき,2,エンターテイメント,70.0,0
佐藤オオキ,2,芸術・文化,70.0,0
佐藤優,2,学術・研究,70.0,0
ジョルジュ・サンピエール,2,スポーツ,70.0,1
エディ・ヴェダー,2,音楽,70.0,1
ジョニー・グリーンウッド,2,音楽,70.0,1
池田秀一,2,エンターテイメント,70.0,0
ウラジーミル・プーチン,2,政治・社会,70.0,1
西岡良仁,2,スポーツ,70.0,1
QuizKnock 伊沢拓司,2,学術・研究,70.0,0
アインシュタイン,2,科学・技術,70.0,2
水溜りボンド カンタ,2,エンターテイメント,70.0,0
小野伸二,2,スポーツ,70.0,1
氷川きよし,2,音楽,70.0,1
志位和夫,2,政治・社会,70.0,1
ノーマン・リア,2,エンターテイメント,70.0,1
ウィンストン・チャーチル,2,政治・社会,70.0,1
ONE OK ROCK,2,音楽,70.0,1
スガシカオ,2,音楽,70.0,0
ウェイン・ショーター,2,音楽,70.0,1
小渕恵三,2,政治・社会,70.0,1
ウェス・アンダーソン,2,映画・演劇,70.0,1
ハリー・ベラフォンテ,2,音楽,70.0,1
笠原将弘,2,芸術・文化,70.0,0
ハルク・ホーガン,2,スポーツ,70.0,1
今敏,2,アニメ・漫画・ゲーム,70.0,0
りゅうちぇる,2,エンターテイメント,70.0,0
石川さゆり,2,音楽,70.0,1
今田耕司,2,エンターテイメント,70.0,1
鈴木裕,2,アニメ・漫画・ゲーム,70.0,0
ハービー・ハンコック,2,音楽,70.0,1
バカリズム,2,エンターテイメント,70.0,1
ゆうこりん（小倉優子）,2,エンターテイメント,70.0,0
ジョージ・ソロス,2,ビジネス,70.0,1
悠木碧,2,エンターテイメント,70.0,0
沢城みゆき,2,エンターテイメント,70.0,0
RADWIMPSの野田洋次郎,2,音楽,70.0,1
青木昌彦,2,学術・研究,70.0,0
ジミ・ヘンドリックス,2,音楽,70.0,1
ミック・ジャガー,2,音楽,70.0,1
