person_name,person_type,age,category,group
クリストファー・コロンブス,REAL,25,探検・冒険,大航海時代
クリストファー・コロンブス,REAL,35,探検・冒険,大航海時代
クリストファー・コロンブス,REAL,41,探検・冒険,大航海時代
クリストファー・コロンブス,REAL,50,探検・冒険,大航海時代
クリストファー・コロンブス,REAL,55,探検・冒険,大航海時代
フェルディナンド・マゼラン,REAL,20,探検・冒険,大航海時代
フェルディナンド・マゼラン,REAL,30,探検・冒険,大航海時代
フェルディナンド・マゼラン,REAL,35,探検・冒険,大航海時代
フェルディナンド・マゼラン,REAL,40,探検・冒険,大航海時代
フェルディナンド・マゼラン,REAL,41,探検・冒険,大航海時代
ヴァスコ・ダ・ガマ,REAL,25,探検・冒険,大航海時代
ヴァスコ・ダ・ガマ,REAL,28,探検・冒険,大航海時代
ヴァスコ・ダ・ガマ,REAL,35,探検・冒険,大航海時代
ヴァスコ・ダ・ガマ,REAL,45,探検・冒険,大航海時代
ヴァスコ・ダ・ガマ,REAL,55,探検・冒険,大航海時代
ジェームズ・クック,REAL,30,探検・冒険,大航海時代
ジェームズ・クック,REAL,40,探検・冒険,大航海時代
ジェームズ・クック,REAL,48,探検・冒険,大航海時代
ジェームズ・クック,REAL,50,探検・冒険,大航海時代
ジェームズ・クック,REAL,51,探検・冒険,大航海時代
鄭和,REAL,30,探検・冒険,大航海時代
鄭和,REAL,40,探検・冒険,大航海時代
鄭和,REAL,50,探検・冒険,大航海時代
鄭和,REAL,55,探検・冒険,大航海時代
鄭和,REAL,60,探検・冒険,大航海時代
ロアルド・アムンセン,REAL,25,探検・冒険,極地探検
ロアルド・アムンセン,REAL,33,探検・冒険,極地探検
ロアルド・アムンセン,REAL,39,探検・冒険,極地探検
ロアルド・アムンセン,REAL,45,探検・冒険,極地探検
ロアルド・アムンセン,REAL,55,探検・冒険,極地探検
ロバート・スコット,REAL,25,探検・冒険,極地探検
ロバート・スコット,REAL,33,探検・冒険,極地探検
ロバート・スコット,REAL,40,探検・冒険,極地探検
ロバート・スコット,REAL,43,探検・冒険,極地探検
ロバート・スコット,REAL,44,探検・冒険,極地探検
アーネスト・シャクルトン,REAL,25,探検・冒険,極地探検
アーネスト・シャクルトン,REAL,33,探検・冒険,極地探検
アーネスト・シャクルトン,REAL,40,探検・冒険,極地探検
アーネスト・シャクルトン,REAL,42,探検・冒険,極地探検
アーネスト・シャクルトン,REAL,47,探検・冒険,極地探検
フリチョフ・ナンセン,REAL,25,探検・冒険,極地探検
フリチョフ・ナンセン,REAL,32,探検・冒険,極地探検
フリチョフ・ナンセン,REAL,40,探検・冒険,極地探検
フリチョフ・ナンセン,REAL,50,探検・冒険,極地探検
フリチョフ・ナンセン,REAL,60,探検・冒険,極地探検
ユーリ・ガガーリン,REAL,20,探検・冒険,宇宙探査
ユーリ・ガガーリン,REAL,25,探検・冒険,宇宙探査
