person_name,category,person_type,award_name,award_year
伊能忠敬,科学・技術,実在,日本地図完成,1821
葛飾北斎,芸術・文化,実在,富嶽三十六景完成,1833
日野原重明,医学・健康,実在,聖路加国際病院理事長,2010
黒柳徹子,エンターテイメント,実在,ユニセフ親善大使活動,2005
森光子,エンターテイメント,実在,放浪記2000回公演,2009
瀬戸内寂聴,文学,実在,源氏物語現代語訳完成,1998
ピカソ,芸術・文化,実在,晩年の傑作制作,1955
黒澤明,映画・演劇,実在,乱公開,1985
宮崎駿,アニメ・漫画・ゲーム,実在,風立ちぬ公開,2013
吉田茂,政治・社会,実在,回想十年刊行,1957
松下幸之助,ビジネス,実在,PHP研究所活動,1976
渋沢栄一,ビジネス,実在,社会事業活動,1910
クリント・イーストウッド,映画・演劇,実在,ミリオンダラー・ベイビー監督,2004
ジミー・カーター,政治・社会,実在,ノーベル平和賞受賞,2002
ウォーレン・バフェット,ビジネス,実在,慈善活動本格化,2006
ネルソン・マンデラ,政治・社会,実在,大統領就任,1994
志村けん,エンターテイメント,実在,バカ殿様継続,2010
加山雄三,音楽,実在,コンサート活動継続,2010
坂本九,音楽,実在,上を向いて歩こう復活,1985
桂歌丸,エンターテイメント,実在,笑点司会者,2016
野村克也,スポーツ,実在,解説者・評論家活動,2010
長嶋茂雄,スポーツ,実在,巨人軍終身名誉監督,2013
王貞治,スポーツ,実在,ワールドベースボールクラシック監督,2009
坂上二郎,エンターテイメント,実在,コント55号活動,2000
美空ひばり,音楽,実在,不死鳥コンサート,1988
三波春夫,音楽,実在,歌手活動継続,1993
藤山一郎,音楽,実在,国民栄誉賞受賞,1992
淡谷のり子,音楽,実在,歌手活動継続,1989
きんさんぎんさん,その他,実在,100歳双子として話題,1992
泉重千代,その他,実在,世界最高齢記録,1986
聖路加看護大学,医学・健康,実在,設立100周年,2020
横山大観,芸術・文化,実在,文化勲章受章,1937
梅原龍三郎,芸術・文化,実在,文化勲章受章,1952
棟方志功,芸術・文化,実在,国際版画展グランプリ,1956
谷崎潤一郎,文学,実在,細雪完成,1948
川端康成,文学,実在,ノーベル文学賞受賞,1968
三島由紀夫,文学,実在,豊饒の海完成,1970
司馬遼太郎,文学,実在,菜の花の沖完成,1982
井上靖,文学,実在,孔子完成,1989
遠藤周作,文学,実在,深い河刊行,1993
五木寛之,文学,実在,親鸞執筆,2010
養老孟司,学術・研究,実在,バカの壁刊行,2003
梅棹忠夫,学術・研究,実在,知的生産の技術,1969
湯川秀樹,科学・技術,実在,平和活動,1970
朝永振一郎,科学・技術,実在,教育活動,1975
南部陽一郎,科学・技術,実在,ノーベル物理学賞受賞,2008
益川敏英,科学・技術,実在,ノーベル物理学賞受賞,2008
下村脩,科学・技術,実在,ノーベル化学賞受賞,2008
山中伸弥,科学・技術,実在,iPS細胞発見,2012
