person_name,category,person_type,award_name,award_year
大谷翔平,スポーツ,実在,甲子園出場,2012
羽生結弦,スポーツ,実在,グランプリファイナル優勝,2012
石川佳純,スポーツ,実在,全日本選手権優勝,2011
浅田真央,スポーツ,実在,世界ジュニア選手権優勝,2005
宇野昌磨,スポーツ,実在,全日本ジュニア選手権優勝,2014
紀平梨花,スポーツ,実在,全日本ジュニア選手権優勝,2017
錦織圭,スポーツ,実在,全米オープンジュニア優勝,2008
伊藤美誠,スポーツ,実在,世界ジュニア選手権団体優勝,2014
張本智和,スポーツ,実在,世界ジュニア選手権優勝,2016
内村航平,スポーツ,実在,全日本ジュニア選手権優勝,2004
北島康介,スポーツ,実在,日本選手権優勝,2001
池江璃花子,スポーツ,実在,日本選手権優勝,2016
白井健三,スポーツ,実在,ユースオリンピック金メダル,2014
橋本大輝,スポーツ,実在,全日本ジュニア選手権優勝,2018
本田真凜,スポーツ,実在,世界ジュニア選手権優勝,2016
藤井聡太,学術・研究,実在,史上最年少プロ棋士,2016
芦田愛菜,エンターテイメント,実在,子役デビュー,2007
鈴木福,エンターテイメント,実在,子役デビュー,2010
モーツァルト,音楽,実在,宮廷作曲家,1762
ベートーヴェン,音楽,実在,宮廷音楽家デビュー,1783
ショパン,音楽,実在,パリデビュー,1831
宇多田ヒカル,音楽,実在,First Loveリリース,1999
米津玄師,音楽,実在,ニコニコ動画デビュー,2009
あいみょん,音楽,実在,作詞作曲開始,2011
YOASOBI（幾田りら）,音楽,実在,ikura活動開始,2015
マーク・ザッカーバーグ,ビジネス,実在,Facebook創業,2004
ビル・ゲイツ,ビジネス,実在,マイクロソフト創業,1975
スティーブ・ジョブズ,科学・技術,実在,Apple創業準備,1975
孫正義,ビジネス,実在,アメリカ留学,1974
堀江貴文,ビジネス,実在,東京大学入学,1991
マララ・ユスフザイ,政治・社会,実在,教育活動開始,2008
グレタ・トゥーンベリ,政治・社会,実在,気候変動ストライキ開始,2018
安室奈美恵,エンターテイメント,実在,スーパーモンキーズデビュー,1992
長渕剛,音楽,実在,アマチュアバンド活動,1974
尾崎豊,音楽,実在,レコードデビュー,1983
hide,音楽,実在,X JAPAN加入,1987
浜崎あゆみ,音楽,実在,デビュー,1998
GACKT,音楽,実在,MALICE MIZER加入,1995
YOSHIKI,音楽,実在,X結成,1982
椎名林檎,音楽,実在,メジャーデビュー,1998
夏目漱石,文学,実在,東京大学入学,1884
芥川龍之介,文学,実在,東京大学入学,1913
太宰治,文学,実在,文学同人誌参加,1927
川端康成,文学,実在,文芸春秋デビュー,1924
三島由紀夫,文学,実在,処女作発表,1944
村上春樹,文学,実在,早稲田大学入学,1968
手塚治虫,アニメ・漫画・ゲーム,実在,漫画家デビュー,1946
藤子・F・不二雄,アニメ・漫画・ゲーム,実在,漫画家デビュー,1951
鳥山明,アニメ・漫画・ゲーム,実在,イラスト投稿開始,1974
尾田栄一郎,アニメ・漫画・ゲーム,実在,アシスタント開始,1992
