person_name,category,person_type,birth_year,death_year
すぎやまこういち,音楽,REAL,1965.0,
アイザック・ニュートン,科学・技術,REAL,1965.0,
アメリア・イアハート,探検・冒険,REAL,1965.0,
アラン・グリーンスパン,ビジネス,REAL,1960.0,
アルゲリッチ,音楽,REAL,1965.0,
アルチュール・ルービンシュタイン,音楽,REAL,1965.0,
アルトゥーロ・トスカニーニ,音楽,REAL,1965.0,
アルフレッド・ノーベル,科学・技術,REAL,1962.0,
アルフレッド・ヒッチコック,映画・演劇,REAL,1959.0,
アレクサンドル・ルカシェンコ,政治・社会,REAL,1958.0,
アントニオ猪木,スポーツ,REAL,1957.0,
アンドリュー・メロン,ビジネス,REAL,1965.0,
アート・ブレイキー,音楽,REAL,1965.0,
アーネスト・ヘミングウェイ,文学,REAL,1964.0,
イアン・マッケラン,映画・演劇,REAL,1965.0,
イェール・ハイエルダール,探検・冒険,REAL,1965.0,
イツハク・ラビン,政治・社会,REAL,1965.0,
イヴ・ギルモ,アニメ・漫画・ゲーム,REAL,1963.0,
ウッドロー・ウィルソン,政治・社会,REAL,1965.0,
エラ・フィッツジェラルド,音楽,REAL,1964.0,
エリック・クラプトン,音楽,REAL,1964.0,
エルトン・ジョン,音楽,REAL,1965.0,
エルンスト・マイヤー,科学・技術,REAL,1965.0,
カラヤン,音楽,REAL,1965.0,
カーネル・サンダース,ビジネス,REAL,1963.0,
カール・セーガン,科学・技術,REAL,1965.0,
カーロス・スリム,ビジネス,REAL,1965.0,
ガイ・カワサキ,ビジネス,REAL,1965.0,
ガンディー,歴史,REAL,1965.0,
キース・リチャーズ,音楽,REAL,1964.0,
コフィー・アナン,政治・社会,REAL,1965.0,
コリン・パウエル,政治・社会,REAL,1960.0,
サティア・ナデラ,ビジネス,REAL,1963.0,
シモン・ペレス,政治・社会,REAL,1960.0,
シャルルマーニュ,歴史,REAL,1963.0,
シャルル・ド・ゴール,政治・社会,REAL,1960.0,
シー・ジンピン,政治・社会,REAL,1960.0,
ジェフリー・カッツェンバーグ,ビジネス,REAL,1965.0,
ジェフ・ベック,音楽,REAL,1959.0,
ジェンスン・ファン,ビジネス,REAL,1956.0,
ジェームズ・ワット,科学・技術,REAL,1965.0,
ジャイアント馬場,スポーツ,REAL,1965.0,
ジャイール・ボルソナロ,政治・社会,REAL,1960.0,
ジャック・シラク,政治・社会,REAL,1960.0,
ジャネット・イエレン,ビジネス,REAL,1960.0,
ジョゼフ・ニーダム,科学・技術,REAL,1965.0,
ジョゼ・サラマーゴ,文学,REAL,1963.0,
ジョン・ケージ,音楽,REAL,1965.0,
ジョン・テンプルトン,ビジネス,REAL,1965.0,
ジョン・ボルトン,政治・社会,REAL,1960.0,
ジョン・マケイン,政治・社会,REAL,1960.0,
ジョン・マッケンロー,スポーツ,REAL,1960.0,
ジョージ・ブッシュ,政治・社会,REAL,1961.0,
スティーブン・キング,文学,REAL,1965.0,
スティーブン・ホーキング,科学・技術,REAL,1964.0,
ストラディヴァリ,芸術・文化,REAL,1965.0,
ソクラテス,学術・研究,REAL,1965.0,
タモリ,エンターテイメント,REAL,1960.0,
ダニエル・カーネマン,科学・技術,REAL,1960.0,
チャック・シューマー,政治・社会,REAL,1963.0,
チャップリン,エンターテイメント,REAL,1960.0,
チャーチル,歴史,REAL,1960.0,
チャールズ・コーク,ビジネス,REAL,1965.0,
ティーレマン,音楽,REAL,1960.0,
テレサ・メイ,政治・社会,REAL,1965.0,
ディック・チェイニー,政治・社会,REAL,1965.0,
デイヴィッド・アッテンボロー,探検・冒険,REAL,1960.0,
デクスター・ゴードン,音楽,REAL,1962.0,
デズモンド・ツツ,政治・社会,REAL,1962.0,
デューク・エリントン,音楽,REAL,1958.0,
デヴィッド・ボウイ,音楽,REAL,1960.0,
デヴィッド・リンチ,映画・演劇,REAL,1964.0,
トルーマン,政治・社会,REAL,1965.0,
トーマス・ジェファーソン,政治・社会,REAL,1960.0,
トーマス・ホッブズ,政治・社会,REAL,1962.0,
ドワイト・D・アイゼンハワー,政治・社会,REAL,1965.0,
ナシーム・ニコラス・タレブ,政治・社会,REAL,1963.0,
ナンシー・ペロシ,政治・社会,REAL,1960.0,
バン・キムン,政治・社会,REAL,1960.0,
バーニー・サンダース上院議員,政治・社会,REAL,1960.0,
パット・メセニー,音楽,REAL,1965.0,
パブロ・カザルス,音楽,REAL,1960.0,
ヒラリー・クリントン,政治・社会,REAL,1960.0,
ビント・サーフ,科学・技術,REAL,1965.0,
ビートたけし,エンターテイメント,REAL,1956.0,
ピーター・アーツ,スポーツ,REAL,1965.0,
フェイフェイ・リー,科学・技術,REAL,1959.0,
フォード,政治・社会,REAL,1964.0,
フランシス・マクドーマンド,映画・演劇,REAL,1965.0,
ヘルムート・コール,政治・社会,REAL,1965.0,
ベルルスコーニ,政治・社会,REAL,1965.0,
ペマ・ギャルポ,政治・社会,REAL,1965.0,
ボレル,政治・社会,REAL,1960.0,
マイケル・キートン,俳優・女優,REAL,1962.0,
マイケル・ブルームバーグ,ビジネス,REAL,1965.0,
マデリーン・オルブライト,政治・社会,REAL,1965.0,
マハトマ・ガンジー,政治・社会,REAL,1964.0,
マルセロ・ビエルサ,スポーツ,REAL,1957.0,
マルタ・アルゲリッチ,音楽,REAL,1965.0,
ミット・ロムニー,政治・社会,REAL,1965.0,
ミハイル・ゴルバチョフ,政治・社会,REAL,1965.0,
ムーティ,音楽,REAL,1956.0,
モディ,政治・社会,REAL,1962.0,
ヤシル・アラファト,政治・社会,REAL,1960.0,
ラトル,音楽,REAL,1957.0,
リチャード・ニクソン,政治・社会,REAL,1965.0,
リチャード・ファインマン,科学・技術,REAL,1965.0,
リーアム・ニーソン,俳優・女優,REAL,1960.0,
ルイーズ・ブルジョワ,芸術・文化,REAL,1960.0,
ルラ・ダ・シルヴァ,政治・社会,REAL,1965.0,
レイ・カーツワイル,科学・技術,REAL,1960.0,
レイ・ダリオ,ビジネス,REAL,1960.0,
レオン・ブラック,ビジネス,REAL,1960.0,
レフ・トルストイ,文学,REAL,1956.0,
ロジャー・バニスター,スポーツ,REAL,1965.0,
ロナルド・レーガン,政治・社会,REAL,1956.0,
ヴァーツラフ・ハヴェル,政治・社会,REAL,1960.0,
ヴォルテール,学術・研究,REAL,1965.0,
三宅一生,芸術・文化,REAL,1960.0,
三浦友和,エンターテイメント,REAL,1960.0,
三浦雄一郎,探検・冒険,REAL,1959.0,
三船敏郎,俳優・女優,REAL,1961.0,
上田晋也,エンターテイメント,REAL,1964.0,
上田秋成,芸術・文化,REAL,1957.0,
下村脩,科学・技術,REAL,1961.0,
中山素平,ビジネス,REAL,1965.0,
中島啓,学術・研究,REAL,1965.0,
