person_name,category,person_type,field,achievement,achievement_year
長岡半太郎,科学技術,SCIENTIST,物理学,長岡原子模型の提唱,1904
本多光太郎,科学技術,SCIENTIST,工学,KS磁石鋼の発明,1917
西澤潤一,科学技術,SCIENTIST,工学,光ファイバー通信の発明,1970
仁科芳雄,科学技術,SCIENTIST,物理学,日本初のサイクロトロン建設,1937
茅誠司,科学技術,SCIENTIST,物理学,磁性体物理学研究,1935
八木秀次,科学技術,SCIENTIST,工学,八木アンテナの発明,1926
真島利行,科学技術,SCIENTIST,化学,漆の化学構造解明,1922
北里柴三郎,科学技術,SCIENTIST,医学,破傷風菌の純粋培養,1889
野口英世,科学技術,SCIENTIST,医学,黄熱病研究,1918
鈴木梅太郎,科学技術,SCIENTIST,生物学,ビタミンB1の発見,1910
高峰譲吉,科学技術,SCIENTIST,生物化学,アドレナリンの抽出,1901
池田菊苗,科学技術,SCIENTIST,化学,グルタミン酸ナトリウムの発見,1908
黒田チカ,科学技術,SCIENTIST,化学,紫根色素の研究,1918
坂田昌一,科学技術,SCIENTIST,物理学,素粒子物理学研究,1955
朝比奈泰彦,科学技術,SCIENTIST,化学,アビエチン酸の研究,1936
