person_name,category,person_type,role,achievement,achievement_year
坂東玉三郎,芸術,TRADITIONAL_ARTS_MASTER,歌舞伎俳優,重要無形文化財保持者（人間国宝）認定,1995
市川團十郎（12代目）,芸術,TRADITIONAL_ARTS_MASTER,歌舞伎俳優,重要無形文化財保持者（人間国宝）認定,1985
中村吉右衛門（2代目）,芸術,TRADITIONAL_ARTS_MASTER,歌舞伎俳優,重要無形文化財保持者（人間国宝）認定,2011
片岡仁左衛門（15代目）,芸術,TRADITIONAL_ARTS_MASTER,歌舞伎俳優,重要無形文化財保持者（人間国宝）認定,2015
桂米朝（3代目）,芸術,TRADITIONAL_ARTS_MASTER,落語家,重要無形文化財保持者（人間国宝）認定,1996
柳家小三治,芸術,TRADITIONAL_ARTS_MASTER,落語家,重要無形文化財保持者（人間国宝）認定,2009
観世寿夫,芸術,TRADITIONAL_ARTS_MASTER,能楽師（シテ方）,重要無形文化財保持者（人間国宝）認定,1978
竹本住大夫,芸術,TRADITIONAL_ARTS_MASTER,文楽太夫,重要無形文化財保持者（人間国宝）認定,2003
吉田玉男,芸術,TRADITIONAL_ARTS_MASTER,文楽人形遣い,重要無形文化財保持者（人間国宝）認定,1994
花柳寿楽,芸術,TRADITIONAL_ARTS_MASTER,日本舞踊家,重要無形文化財保持者（人間国宝）認定,1960
杵屋巳太郎（6代目）,芸術,TRADITIONAL_ARTS_MASTER,長唄三味線,重要無形文化財保持者（人間国宝）認定,1955
酒井田柿右衛門（14代目）,芸術,TRADITIONAL_ARTS_MASTER,陶芸家,重要無形文化財保持者（人間国宝）認定,2014
井上萬二,芸術,TRADITIONAL_ARTS_MASTER,陶芸家,重要無形文化財保持者（人間国宝）認定,1995
志村ふくみ,芸術,TRADITIONAL_ARTS_MASTER,染織家,重要無形文化財保持者（人間国宝）認定,1990
室瀬和美,芸術,TRADITIONAL_ARTS_MASTER,漆芸家,重要無形文化財保持者（人間国宝）認定,2008
