person_name,category,person_type,sub_category,birth_year,description
吉田知那美,スポーツ,REAL,カーリング,1991,ロコ・ソラーレ所属。平昌五輪銅、北京五輪銀メダリスト。「そだねー」で流行語大賞
藤澤五月,スポーツ,REAL,カーリング,1991,ロコ・ソラーレのスキップ。世界選手権準優勝
本橋麻里,スポーツ,REAL,カーリング,1986,ロコ・ソラーレ創設者。トリノ五輪から4大会連続出場
吉田夕梨花,スポーツ,REAL,カーリング,1993,ロコ・ソラーレ所属。平昌・北京五輪メダリスト
鈴木夕湖,スポーツ,REAL,カーリング,1991,ロコ・ソラーレ所属。平昌・北京五輪メダリスト
羽生結弦,スポーツ,REAL,フィギュアスケート,1994,五輪2連覇。66年ぶりの偉業を達成した日本のエース
荒川静香,スポーツ,REAL,フィギュアスケート,1981,トリノ五輪金メダリスト。アジア女子初のフィギュア五輪金
浅田真央,スポーツ,REAL,フィギュアスケート,1990,トリプルアクセルの代名詞。バンクーバー五輪銀メダリスト
伊藤みどり,スポーツ,REAL,フィギュアスケート,1969,女子初のトリプルアクセル成功者。アルベールビル五輪銀
小平奈緒,スポーツ,REAL,スピードスケート,1986,平昌五輪500m金メダリスト。低地リンク世界記録樹立
高木美帆,スポーツ,REAL,スピードスケート,1994,北京五輪金メダルを含む五輪4個のメダル獲得
清水宏保,スポーツ,REAL,スピードスケート,1974,長野五輪500m金メダリスト。日本男子初のスケート五輪金
高梨沙羅,スポーツ,REAL,スキージャンプ,1996,W杯歴代最多勝。五輪では悲願のメダル獲得を目指す
葛西紀明,スポーツ,REAL,スキージャンプ,1972,8大会連続五輪出場の「レジェンド」。ソチ五輪銀メダリスト
原大智,スポーツ,REAL,モーグル,1997,平昌五輪銅メダリスト。日本男子モーグル初のメダル
上村愛子,スポーツ,REAL,モーグル,1979,五輪5大会連続出場。日本モーグルの先駆者
渡部暁斗,スポーツ,REAL,ノルディック複合,1988,平昌五輪銀メダリスト。W杯総合優勝
平野歩夢,スポーツ,REAL,スノーボード,1998,北京五輪ハーフパイプ金メダリスト。夏冬五輪出場も達成
ショーン・ホワイト,スポーツ,REAL,スノーボード,1986,ハーフパイプ五輪3度金メダル。「フライング・トマト」
リンゼイ・ボン,スポーツ,REAL,アルペンスキー,1984,W杯通算82勝は女子歴代最多。バンクーバー五輪金
