person_name,category,person_type,championship,championship_year
浅田真央,フィギュアスケート,ATHLETE,世界フィギュアスケート選手権,2010
荒川静香,フィギュアスケート,ATHLETE,世界フィギュアスケート選手権,2004
安藤美姫,フィギュアスケート,ATHLETE,世界フィギュアスケート選手権,2011
吉田沙保里,レスリング,ATHLETE,世界レスリング選手権,2002
登坂絵莉,レスリング,ATHLETE,世界レスリング選手権,2014
土性沙羅,レスリング,ATHLETE,世界レスリング選手権,2015
川井梨紗子,レスリング,ATHLETE,世界レスリング選手権,2014
山下泰裕,柔道,ATHLETE,世界柔道選手権,1979
井上康生,柔道,ATHLETE,世界柔道選手権,1999
塚原光男,体操,ATHLETE,世界体操競技選手権,1970
具志堅幸司,体操,ATHLETE,世界体操競技選手権,1974
白井健三,体操,ATHLETE,世界体操競技選手権,2013
田中理恵,体操,ATHLETE,世界体操競技選手権,2009
室伏広治,陸上,ATHLETE,世界陸上競技選手権,2001
澤穂希,サッカー,ATHLETE,FIFA女子ワールドカップ,2011
