person_name,category,person_type,sub_category,birth_year,description
ジム・ジャームッシュ,映画・演劇,REAL,インディー映画,1953,インディー映画の巨匠。「ストレンジャー・ザン・パラダイス」でカンヌ受賞
マイケル・ムーア,映画・演劇,REAL,ドキュメンタリー,1954,ドキュメンタリー映画監督。「華氏911」でカンヌ最高賞
ウェス・アンダーソン,映画・演劇,REAL,インディー映画,1969,独特のビジュアルスタイルで知られる監督。「グランド・ブダペスト・ホテル」
ソフィア・コッポラ,映画・演劇,REAL,インディー映画,1971,女性監督の先駆者。「ロスト・イン・トランスレーション」でアカデミー脚本賞
ダーレン・アロノフスキー,映画・演劇,REAL,インディー映画,1969,「レクイエム・フォー・ドリーム」「ブラック・スワン」の監督
デヴィッド・リンチ,映画・演劇,REAL,アート映画,1946,シュルレアリスム映画の巨匠。「ツイン・ピークス」「マルホランド・ドライブ」
クエンティン・タランティーノ,映画・演劇,REAL,アメリカ映画,1963,独自の映画文法を確立。「パルプ・フィクション」でカンヌ最高賞
マーティン・スコセッシ,映画・演劇,REAL,アメリカ映画,1942,アメリカ映画界の巨匠。「タクシードライバー」「グッドフェローズ」
フランシス・フォード・コッポラ,映画・演劇,REAL,アメリカ映画,1939,「ゴッドファーザー」「地獄の黙示録」の監督
スティーヴン・スピルバーグ,映画・演劇,REAL,アメリカ映画,1946,史上最も商業的に成功した監督。「ジョーズ」「E.T.」「シンドラーのリスト」
クリストファー・ノーラン,映画・演劇,REAL,イギリス映画,1970,「ダークナイト」「インセプション」の監督。大作とアートの両立
デニス・ヴィルヌーヴ,映画・演劇,REAL,カナダ映画,1967,「ブレードランナー2049」「DUNE」の監督
ポン・ジュノ,映画・演劇,REAL,韓国映画,1969,「パラサイト」でアジア初のアカデミー作品賞
アルフォンソ・キュアロン,映画・演劇,REAL,メキシコ映画,1961,「ROMA」「ゼロ・グラビティ」の監督
ギレルモ・デル・トロ,映画・演劇,REAL,メキシコ映画,1964,「シェイプ・オブ・ウォーター」でアカデミー監督賞
是枝裕和,映画・演劇,REAL,日本映画,1962,「万引き家族」でカンヌ最高賞。日本映画の世界的評価を高めた
北野武,映画・演劇,REAL,日本映画,1947,「HANA-BI」でベネチア金獅子賞。世界的に評価される日本人監督
宮崎駿,映画・演劇,REAL,アニメ映画,1941,スタジオジブリの創設者。「千と千尋の神隠し」でアカデミー賞
新海誠,映画・演劇,REAL,アニメ映画,1973,「君の名は。」で日本アニメの歴史的興行収入を記録
アレハンドロ・ゴンサレス・イニャリトゥ,映画・演劇,REAL,メキシコ映画,1963,「バードマン」「レヴェナント」でアカデミー監督賞2連覇
