person_name,category,person_type,sub_category,birth_year,description
マイルス・デイヴィス,音楽,REAL,ジャズ,1926,ジャズの帝王。ビバップからフュージョンまでジャズの歴史を変革し続けた
チック・コリア,音楽,REAL,ジャズ,1941,フュージョンの先駆者。リターン・トゥ・フォーエヴァーを率いた
ジョン・コルトレーン,音楽,REAL,ジャズ,1926,サックスの革命児。「至上の愛」でジャズの精神性を高めた
セロニアス・モンク,音楽,REAL,ジャズ,1917,独自の和声感覚でビバップを革新したピアニスト・作曲家
ルイ・アームストロング,音楽,REAL,ジャズ,1901,ジャズの父。トランペットとスキャットで音楽史を変えた
デューク・エリントン,音楽,REAL,ジャズ,1899,スウィング・ジャズの巨匠。2000曲以上を作曲
チャーリー・パーカー,音楽,REAL,ジャズ,1920,ビバップの創始者。アルトサックスの革命児
ビル・エヴァンス,音楽,REAL,ジャズ,1929,モダン・ジャズ・ピアノの革新者。「カインド・オブ・ブルー」に参加
ハービー・ハンコック,音楽,REAL,ジャズ,1940,ファンク・ジャズの開拓者。「ヘッドハンターズ」で新境地
ウェイン・ショーター,音楽,REAL,ジャズ,1933,マイルスのクインテットで活躍。作曲家としても卓越
ディジー・ガレスピー,音楽,REAL,ジャズ,1917,ビバップトランペットの巨星。アフロキューバン・ジャズを確立
エラ・フィッツジェラルド,音楽,REAL,ジャズ,1917,ジャズボーカルの女王。スキャットの名手
ビリー・ホリデイ,音楽,REAL,ジャズ,1915,ジャズボーカルの伝説。「奇妙な果実」で社会派の先駆け
サラ・ヴォーン,音楽,REAL,ジャズ,1924,「神聖なる声」と称されたジャズボーカリスト
キース・ジャレット,音楽,REAL,ジャズ,1945,即興演奏の巨匠。「ケルン・コンサート」は史上最も売れたジャズアルバム
パット・メセニー,音楽,REAL,ジャズ,1954,コンテンポラリー・ジャズ・ギターの革新者。20のグラミー賞
オーネット・コールマン,音楽,REAL,ジャズ,1930,フリー・ジャズの創始者。ジャズの概念を根底から覆した
アート・ブレイキー,音楽,REAL,ジャズ,1919,ジャズ・メッセンジャーズを率いたドラマー。若手育成の名手
ソニー・ロリンズ,音楽,REAL,ジャズ,1930,テナーサックスの巨人。圧倒的な即興力
渡辺貞夫,音楽,REAL,ジャズ,1933,日本ジャズ界の至宝。「ナベサダ」として世界的に活躍
