person_name,category,person_type,sub_category,birth_year,description
カート・コバーン,音楽,REAL,グランジ,1967,ニルヴァーナのフロントマン。グランジの象徴として90年代を席巻
エディ・ヴェダー,音楽,REAL,グランジ,1964,パール・ジャムのボーカル。グランジ/オルタナティブの重鎮
クリス・コーネル,音楽,REAL,グランジ,1964,サウンドガーデンのボーカル。4オクターブの声域
レイン・ステイリー,音楽,REAL,グランジ,1967,アリス・イン・チェインズのボーカル。ダークなサウンドの先駆者
デイヴ・グロール,音楽,REAL,ロック,1969,ニルヴァーナのドラマー、フー・ファイターズのフロントマン
ジョン・ボーナム,音楽,REAL,ロック,1948,レッド・ツェッペリンのドラマー。ロック史上最高のドラマーの一人
ジミー・ペイジ,音楽,REAL,ロック,1944,レッド・ツェッペリンのギタリスト。ハードロックの開祖
ロバート・プラント,音楽,REAL,ロック,1948,レッド・ツェッペリンのボーカル。ロックボーカルの頂点
キース・リチャーズ,音楽,REAL,ロック,1943,ローリング・ストーンズのギタリスト。ロックの生きる伝説
ミック・ジャガー,音楽,REAL,ロック,1943,ローリング・ストーンズのボーカル。ロックのカリスマ
ジェフ・ベック,音楽,REAL,ロック,1944,ロックギターの革命児。3大ギタリストの一人
エリック・クラプトン,音楽,REAL,ロック,1945,ギターの神様。ブルースロックからバラードまで
ジミ・ヘンドリックス,音楽,REAL,ロック,1942,エレキギターの革命児。わずか4年で音楽史を変えた
ブライアン・イーノ,音楽,REAL,アンビエント,1948,アンビエント音楽の創始者。プロデューサーとしても活躍
ジョン・マッケンタイア,音楽,REAL,ポストロック,1970,トータス、シカゴ音響派の中心人物。ポストロックの革新者
トム・ヨーク,音楽,REAL,オルタナ,1968,レディオヘッドのフロントマン。実験的ロックの旗手
ジョニー・グリーンウッド,音楽,REAL,オルタナ,1971,レディオヘッドのギタリスト。映画音楽でも活躍
ボビー・マクファーリン,音楽,REAL,ボーカル,1950,"「Don't Worry, Be Happy」グラミー受賞。ボーカルパーカッションの名手"
イギー・ポップ,音楽,REAL,パンク,1947,パンクロックのゴッドファーザー。ストゥージズのフロントマン
ルー・リード,音楽,REAL,オルタナ,1942,ヴェルヴェット・アンダーグラウンドのリーダー。NYパンクの父
