person_name,category,sub_category,tier,birth_year,description,aliases,status
ブル中野,スポーツ,プロレス（女子）,1,1968,女子プロレス界のレジェンド。WWF女子世界王者、人間離れした身体能力,Bull Nakano;中野恵子,confirmed
北斗晶,スポーツ,プロレス（女子）,1,1967,女子プロレス界のスター。「鬼嫁」として親しまれるタレント,デンジャラス・クイーン,confirmed
ダンプ松本,スポーツ,プロレス（女子）,1,1960,極悪同盟のリーダー。女子プロレス黄金期を代表するヒール,松本香,confirmed
長与千種,スポーツ,プロレス（女子）,1,1964,クラッシュ・ギャルズの一員。女子プロレスブームの立役者,,confirmed
ライオネス飛鳥,スポーツ,プロレス（女子）,1,1963,クラッシュ・ギャルズの一員。長与千種とのタッグで大人気,飛鳥;Lioness Asuka,confirmed
アジャコング,スポーツ,プロレス（女子）,1,1970,女子プロレス界の最強外国人キャラ。長期にわたり活躍,Aja Kong,confirmed
豊田真奈美,スポーツ,プロレス（女子）,2,1971,全日本女子プロレスのエース。技術派レスラー,,confirmed
神取忍,スポーツ,プロレス（女子）,2,1964,柔道からプロレス転向。異種格闘技戦でも活躍,LLPW創設者,confirmed
井上京子,スポーツ,プロレス（女子）,2,1969,全日本女子プロレスのトップ選手。安定した実力派,,confirmed
工藤めぐみ,スポーツ,プロレス（女子）,2,1969,FMWで活躍。ハードコア系女子レスラーの先駆者,,confirmed
里村明衣子,スポーツ,プロレス（女子）,2,1979,仙台を拠点に活動。現役最長クラスの女子レスラー,Meiko Satomura,confirmed
紫雷イオ,スポーツ,プロレス（女子）,1,1990,現WWE所属。世界で活躍する日本人女子レスラー,Io Shirai;イオ・スカイ,confirmed
アスカ,スポーツ,プロレス（女子）,1,1981,WWE所属。海外で最も成功した日本人女子レスラー,華名;KANA,confirmed
中野たむ,スポーツ,プロレス（女子）,2,1994,スターダム所属。アイドル系レスラー,,confirmed
岩谷麻優,スポーツ,プロレス（女子）,2,1993,スターダム創業メンバー。アイコン的存在,Mayu Iwatani,confirmed
辰巳リカ,囲碁・将棋,将棋,2,2003,女流棋士。将棋界の若手スター,,confirmed
西山朋佳,囲碁・将棋,将棋,1,1995,女流棋士。史上初の奨励会三段リーグ経験者,,confirmed
里見香奈,囲碁・将棋,将棋,1,1992,女流五冠獲得。女流棋界のトップ,女流名人,confirmed
鳥羽和久,料理,シェフ,1,1951,日本料理界の巨匠。京料理の第一人者,,confirmed
道場六三郎,料理,シェフ,1,1931,「料理の鉄人」初代和の鉄人。料理界のレジェンド,,confirmed
中村孝明,料理,シェフ,1,1947,「料理の鉄人」和食担当。日本料理を世界に発信,,confirmed
神田川俊郎,料理,シェフ,2,1939,料理研究家・タレント。関西の顔,,confirmed
三國清三,料理,シェフ,1,1954,フレンチの巨匠。北海道洞爺湖サミットの料理担当,,confirmed
坂井宏行,料理,シェフ,1,1942,「料理の鉄人」フレンチの鉄人。ラ・ロシェルオーナー,,confirmed
陳建一,料理,シェフ,1,1956,「料理の鉄人」中華の鉄人。四川飯店オーナー,陳建民の息子,confirmed
HIKAKIN,エンターテイメント,YouTuber,1,1989,日本を代表するYouTuber。ヒカキンTV,,confirmed
はじめしゃちょー,エンターテイメント,YouTuber,1,1993,人気YouTuber。チャンネル登録者数トップクラス,,confirmed
フィッシャーズ,エンターテイメント,YouTuber,1,,人気YouTuberグループ。アスレチック系動画,シルクロード,confirmed
東海オンエア,エンターテイメント,YouTuber,1,,人気YouTuberグループ。愛知県岡崎市拠点,てつや,confirmed
ゆうこす,エンターテイメント,インフルエンサー,2,1994,モテクリエイター。元HKT48,菅本裕子,confirmed
ローランド,エンターテイメント,ホスト,1,1992,現代ホスト界の帝王。実業家としても活躍,ROLAND,confirmed
てんちむ,エンターテイメント,YouTuber,2,1993,YouTuber・タレント。ファッション系,橋本甜歌,confirmed
田中みな実,エンターテイメント,アナウンサー,1,1986,元TBSアナウンサー。フリー転向後も大活躍,,confirmed
弘中綾香,エンターテイメント,アナウンサー,1,1991,テレビ朝日アナウンサー。バラエティで人気,,confirmed
藤本万梨乃,エンターテイメント,アナウンサー,2,1995,フジテレビアナウンサー。才女として知られる,,confirmed
キズナアイ,エンターテイメント,VTuber,1,2016,VTuberの元祖。バーチャルYouTuber文化を創出,Kizuna AI,confirmed
輝夜月,エンターテイメント,VTuber,2,2017,人気VTuber。独特のキャラクターで人気,Kaguya Luna,confirmed
ときのそら,エンターテイメント,VTuber,1,2017,ホロライブ0期生。VTuber黎明期から活動,,confirmed
白上フブキ,エンターテイメント,VTuber,1,2018,ホロライブ1期生。海外でも大人気,Shirakami Fubuki,confirmed
湊あくあ,エンターテイメント,VTuber,1,2018,ホロライブ2期生。ゲーム配信で人気,Minato Aqua,confirmed
兎田ぺこら,エンターテイメント,VTuber,1,2019,ホロライブ3期生。登録者数トップクラス,Usada Pekora,confirmed
星街すいせい,エンターテイメント,VTuber,1,2018,ホロライブ所属。歌唱力で知られる,Hoshimachi Suisei,confirmed
月ノ美兎,エンターテイメント,VTuber,1,2018,にじさんじ1期生。VTuber界のパイオニア,Tsukino Mito,confirmed
葛葉,エンターテイメント,VTuber,1,2018,にじさんじ所属。ゲーム配信で大人気男性VTuber,Kuzuha,confirmed
叶,エンターテイメント,VTuber,1,2018,にじさんじ所属。葛葉とのコンビで人気,Kanae,confirmed
梅原大吾,スポーツ,eスポーツ,1,1981,プロゲーマー。格闘ゲーム界のレジェンド,Daigo;ウメハラ,confirmed
ときど,スポーツ,eスポーツ,1,1985,プロゲーマー。東大卒の格闘ゲーマー,Tokido,confirmed
ボンちゃん,スポーツ,eスポーツ,2,1984,プロゲーマー。ストリートファイター強豪,,confirmed
ふ〜ど,スポーツ,eスポーツ,2,1985,プロゲーマー。格闘ゲーム界の実力者,Fuudo,confirmed
Ado,音楽,歌手,1,2002,「うっせぇわ」で大ブレイク。顔出しなしの歌姫,,confirmed
藤井風,音楽,シンガーソングライター,1,1997,岡山出身。独自の音楽性で人気,Fujii Kaze,confirmed
YOASOBI,音楽,ユニット,1,2019,Ayase・ikuraによるユニット。小説音楽化プロジェクト,,confirmed
Vaundy,音楽,シンガーソングライター,1,2000,若手シンガーソングライター。多彩な楽曲で人気,,confirmed
優里,音楽,シンガーソングライター,1,1994,「ドライフラワー」大ヒット。TikTokから人気に,,confirmed
Ado,音楽,歌手,1,2002,「うっせぇわ」で社会現象。10代で大ブレイク,,confirmed
